ID,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
23,"A11",10.000000,"A34","A40",2241.000000,"A61","A72",1,"A93","A101",3,"A121",48.000000,"A143","A151",2,"A172","A191","A202",1
24,"A12",12.000000,"A34","A41",1804.000000,"A62","A72",3,"A93","A101",4,"A122",44.000000,"A143","A152",1,"A173","A191","A201",1
25,"A14",10.000000,"A34","A42",2069.000000,"A65","A73",2,"A94","A101",1,"A123",26.000000,"A143","A152",2,"A173","A191","A202",1
26,"A11",6.000000,"A32","A42",1374.000000,"A61","A73",1,"A93","A101",2,"A121",36.000000,"A141","A152",1,"A172","A192","A201",1
27,"A14",6.000000,"A30","A43",426.000000,"A61","A75",4,"A94","A101",4,"A123",39.000000,"A143","A152",1,"A172","A191","A201",1
28,"A13",12.000000,"A31","A43",409.000000,"A64","A73",3,"A92","A101",3,"A121",42.000000,"A143","A151",2,"A173","A191","A201",1
29,"A12",7.000000,"A32","A43",2415.000000,"A61","A73",3,"A93","A103",2,"A121",34.000000,"A143","A152",1,"A173","A191","A201",1
30,"A11",42.000000,"A33","A49",6836.000000,"A61","A75",3,"A93","A101",4,"A124",63.000000,"A143","A152",2,"A173","A192","A201",2
31,"A12",18.000000,"A32","A49",1913.000000,"A64","A72",3,"A94","A101",3,"A121",36.000000,"A141","A152",1,"A173","A192","A201",1
32,"A11",24.000000,"A32","A42",4020.000000,"A61","A73",2,"A93","A101",2,"A123",27.000000,"A142","A152",1,"A173","A191","A201",1
33,"A12",18.000000,"A32","A40",5866.000000,"A62","A73",2,"A93","A101",2,"A123",30.000000,"A143","A152",2,"A173","A192","A201",1
34,"A14",12.000000,"A34","A49",1264.000000,"A65","A75",4,"A93","A101",4,"A124",57.000000,"A143","A151",1,"A172","A191","A201",1
35,"A13",12.000000,"A32","A42",1474.000000,"A61","A72",4,"A92","A101",1,"A122",33.000000,"A141","A152",1,"A174","A192","A201",1
36,"A12",42.000000,"A34","A43",4746.000000,"A61","A72",4,"A93","A101",2,"A122",25.000000,"A143","A152",2,"A172","A191","A201",2
37,"A14",42.000000,"A34","A46",6110.000000,"A61","A73",1,"A93","A101",3,"A124",31.000000,"A141","A153",1,"A173","A192","A201",1
38,"A13",18.000000,"A32","A43",2100.000000,"A61","A73",4,"A93","A102",2,"A121",37.000000,"A142","A152",1,"A173","A191","A201",2
39,"A13",10.000000,"A32","A44",1225.000000,"A61","A73",2,"A93","A101",2,"A123",37.000000,"A143","A152",1,"A173","A192","A201",1
40,"A12",9.000000,"A32","A43",458.000000,"A61","A73",4,"A93","A101",3,"A121",24.000000,"A143","A152",1,"A173","A191","A201",1
41,"A14",30.000000,"A32","A43",2333.000000,"A63","A75",4,"A93","A101",2,"A123",30.000000,"A141","A152",1,"A174","A191","A201",1
42,"A12",12.000000,"A32","A43",1158.000000,"A63","A73",3,"A91","A101",1,"A123",26.000000,"A143","A152",1,"A173","A192","A201",1
43,"A12",18.000000,"A33","A45",6204.000000,"A61","A73",2,"A93","A101",4,"A121",44.000000,"A143","A152",1,"A172","A192","A201",1
44,"A11",30.000000,"A34","A41",6187.000000,"A62","A74",1,"A94","A101",4,"A123",24.000000,"A143","A151",2,"A173","A191","A201",1
45,"A11",42.000000,"A34","A41",6143.000000,"A61","A75",4,"A92","A101",4,"A124",58.000000,"A142","A153",2,"A172","A191","A201",2
46,"A14",11.000000,"A34","A40",1393.000000,"A61","A72",4,"A92","A101",4,"A123",35.000000,"A143","A152",2,"A174","A191","A201",1
47,"A14",36.000000,"A32","A43",2299.000000,"A63","A75",4,"A93","A101",4,"A123",39.000000,"A143","A152",1,"A173","A191","A201",1
48,"A11",6.000000,"A32","A41",1352.000000,"A63","A71",1,"A92","A101",2,"A122",23.000000,"A143","A151",1,"A171","A192","A201",1
49,"A14",11.000000,"A34","A40",7228.000000,"A61","A73",1,"A93","A101",4,"A122",39.000000,"A143","A152",2,"A172","A191","A201",1
50,"A14",12.000000,"A32","A43",2073.000000,"A62","A73",4,"A92","A102",2,"A121",28.000000,"A143","A152",1,"A173","A191","A201",1
51,"A12",24.000000,"A33","A42",2333.000000,"A65","A72",4,"A93","A101",2,"A122",29.000000,"A141","A152",1,"A172","A191","A201",1
52,"A12",27.000000,"A33","A41",5965.000000,"A61","A75",1,"A93","A101",2,"A123",30.000000,"A143","A152",2,"A174","A192","A201",1
53,"A14",12.000000,"A32","A43",1262.000000,"A61","A73",3,"A93","A101",2,"A123",25.000000,"A143","A152",1,"A173","A191","A201",1
54,"A14",18.000000,"A32","A41",3378.000000,"A65","A73",2,"A93","A101",1,"A122",31.000000,"A143","A152",1,"A173","A192","A201",1
55,"A12",36.000000,"A33","A40",2225.000000,"A61","A75",4,"A93","A101",4,"A124",57.000000,"A141","A153",2,"A173","A192","A201",2
56,"A14",6.000000,"A31","A40",783.000000,"A65","A73",1,"A93","A103",2,"A121",26.000000,"A142","A152",1,"A172","A191","A201",1
57,"A12",12.000000,"A32","A43",6468.000000,"A65","A71",2,"A93","A101",1,"A124",52.000000,"A143","A152",1,"A174","A192","A201",2
58,"A14",36.000000,"A34","A43",7883.750000,"A61","A73",2,"A92","A101",2,"A123",31.000000,"A142","A152",2,"A173","A191","A201",1
59,"A13",18.000000,"A32","A40",1961.000000,"A61","A75",3,"A92","A101",2,"A123",23.000000,"A143","A152",1,"A174","A191","A201",1
60,"A11",36.000000,"A34","A42",6229.000000,"A61","A72",4,"A92","A102",4,"A124",23.000000,"A143","A151",2,"A172","A192","A201",2
61,"A12",9.000000,"A32","A49",1391.000000,"A61","A73",2,"A94","A101",1,"A121",27.000000,"A141","A152",1,"A173","A192","A201",1
62,"A12",15.000000,"A34","A43",1537.000000,"A65","A75",4,"A93","A103",4,"A121",50.000000,"A143","A152",2,"A173","A192","A201",1
63,"A12",36.000000,"A30","A49",1953.000000,"A61","A75",4,"A93","A101",4,"A124",61.000000,"A143","A153",1,"A174","A192","A201",2
64,"A12",42.000000,"A30","A49",7883.750000,"A61","A73",2,"A93","A101",2,"A123",25.000000,"A143","A152",1,"A173","A192","A201",2
65,"A14",24.000000,"A32","A43",3181.000000,"A61","A72",4,"A92","A101",4,"A122",26.000000,"A143","A152",1,"A173","A192","A201",1
66,"A14",27.000000,"A32","A45",5190.000000,"A65","A75",4,"A93","A101",4,"A122",48.000000,"A143","A152",4,"A173","A192","A201",1
67,"A14",12.000000,"A32","A43",2171.000000,"A61","A72",2,"A92","A101",2,"A123",29.000000,"A141","A152",1,"A173","A191","A201",1
68,"A12",12.000000,"A32","A40",1007.000000,"A64","A73",4,"A94","A101",1,"A121",22.000000,"A143","A152",1,"A173","A191","A201",1
69,"A14",36.000000,"A32","A46",1819.000000,"A61","A73",4,"A93","A101",4,"A124",37.000000,"A142","A153",1,"A173","A192","A201",2
70,"A14",36.000000,"A32","A43",2394.000000,"A65","A73",4,"A92","A101",4,"A123",25.000000,"A143","A152",1,"A173","A191","A201",1
71,"A14",36.000000,"A32","A41",7883.750000,"A61","A73",1,"A92","A101",2,"A122",30.000000,"A141","A152",1,"A173","A191","A201",1
72,"A14",7.000000,"A34","A43",730.000000,"A65","A75",4,"A93","A101",2,"A122",46.000000,"A143","A151",2,"A172","A192","A201",1
73,"A11",8.000000,"A34","A410",1164.000000,"A61","A75",3,"A93","A101",4,"A124",51.000000,"A141","A153",2,"A174","A192","A201",1
74,"A12",42.000000,"A34","A49",5954.000000,"A61","A74",2,"A92","A101",1,"A121",41.000000,"A141","A152",2,"A172","A191","A201",1
75,"A11",36.000000,"A32","A46",1977.000000,"A65","A75",4,"A93","A101",4,"A124",40.000000,"A143","A152",1,"A174","A192","A201",2
76,"A11",12.000000,"A34","A41",1526.000000,"A61","A75",4,"A93","A101",4,"A124",64.500000,"A143","A153",2,"A174","A191","A201",1
77,"A11",42.000000,"A32","A43",3965.000000,"A61","A72",4,"A93","A101",3,"A123",34.000000,"A143","A152",1,"A173","A191","A201",2
78,"A12",11.000000,"A33","A43",4771.000000,"A61","A74",2,"A93","A101",4,"A122",51.000000,"A143","A152",1,"A173","A191","A201",1
79,"A14",42.000000,"A30","A41",7883.750000,"A65","A73",2,"A93","A101",2,"A122",39.000000,"A143","A152",1,"A172","A191","A201",1
80,"A12",30.000000,"A32","A42",3832.000000,"A61","A72",2,"A94","A101",1,"A122",22.000000,"A143","A152",1,"A173","A191","A201",1
81,"A14",24.000000,"A32","A43",5943.000000,"A65","A72",1,"A92","A101",1,"A123",44.000000,"A143","A152",2,"A173","A192","A201",2
82,"A14",15.000000,"A32","A43",1213.000000,"A63","A75",4,"A93","A101",3,"A122",47.000000,"A142","A152",1,"A173","A192","A201",1
83,"A14",18.000000,"A32","A49",1568.000000,"A62","A73",3,"A92","A101",4,"A122",24.000000,"A143","A151",1,"A172","A191","A201",1
84,"A11",24.000000,"A32","A410",1755.000000,"A61","A75",4,"A92","A103",4,"A121",58.000000,"A143","A152",1,"A172","A192","A201",1
85,"A11",10.000000,"A32","A43",2315.000000,"A61","A75",3,"A93","A101",4,"A121",52.000000,"A143","A152",1,"A172","A191","A201",1
86,"A14",12.000000,"A34","A49",1412.000000,"A61","A73",4,"A92","A103",2,"A121",29.000000,"A143","A152",2,"A174","A192","A201",1
87,"A12",18.000000,"A34","A42",1295.000000,"A61","A72",4,"A92","A101",1,"A122",27.000000,"A143","A152",2,"A173","A191","A201",1
88,"A12",36.000000,"A32","A46",7883.750000,"A62","A73",1,"A93","A101",4,"A124",47.000000,"A143","A153",1,"A173","A192","A201",2
89,"A11",18.000000,"A32","A40",2249.000000,"A62","A74",4,"A93","A101",3,"A123",30.000000,"A143","A152",1,"A174","A192","A201",1
90,"A11",12.000000,"A30","A45",1108.000000,"A61","A74",4,"A93","A101",3,"A121",28.000000,"A143","A152",2,"A173","A191","A201",2
91,"A14",12.000000,"A34","A43",618.000000,"A61","A75",4,"A93","A101",4,"A121",56.000000,"A143","A152",1,"A173","A191","A201",1
92,"A11",12.000000,"A34","A41",1409.000000,"A61","A75",4,"A93","A101",3,"A121",54.000000,"A143","A152",1,"A173","A191","A201",1
93,"A14",12.000000,"A34","A43",797.000000,"A65","A75",4,"A92","A101",3,"A122",33.000000,"A141","A152",1,"A172","A191","A201",2
94,"A13",24.000000,"A34","A42",3617.000000,"A65","A75",4,"A93","A102",4,"A124",20.000000,"A143","A151",2,"A173","A191","A201",1
95,"A12",12.000000,"A32","A40",1318.000000,"A64","A75",4,"A93","A101",4,"A121",54.000000,"A143","A152",1,"A173","A192","A201",1
96,"A12",42.000000,"A30","A49",7883.750000,"A61","A72",3,"A93","A101",4,"A124",58.000000,"A143","A151",1,"A173","A192","A201",2
97,"A14",12.000000,"A34","A46",2012.000000,"A65","A74",4,"A92","A101",2,"A123",61.000000,"A143","A152",1,"A173","A191","A201",1
98,"A12",18.000000,"A32","A49",2622.000000,"A62","A73",4,"A93","A101",4,"A123",34.000000,"A143","A152",1,"A173","A191","A201",1
99,"A12",36.000000,"A34","A43",2337.000000,"A61","A75",4,"A93","A101",4,"A121",36.000000,"A143","A152",1,"A173","A191","A201",1
100,"A12",20.000000,"A33","A41",7057.000000,"A65","A74",3,"A93","A101",4,"A122",36.000000,"A141","A151",2,"A174","A192","A201",1
101,"A14",24.000000,"A32","A40",1469.000000,"A62","A75",4,"A94","A101",4,"A121",41.000000,"A143","A151",1,"A172","A191","A201",1
102,"A12",36.000000,"A32","A43",2323.000000,"A61","A74",4,"A93","A101",4,"A123",24.000000,"A143","A151",1,"A173","A191","A201",1
103,"A14",6.000000,"A33","A43",932.000000,"A61","A73",3,"A92","A101",2,"A121",24.000000,"A143","A152",1,"A173","A191","A201",1
104,"A12",9.000000,"A34","A42",1919.000000,"A61","A74",4,"A93","A101",3,"A123",35.000000,"A143","A151",1,"A173","A192","A201",1
105,"A14",12.000000,"A32","A41",2445.000000,"A65","A72",2,"A94","A101",4,"A123",26.000000,"A143","A151",1,"A173","A192","A201",1
106,"A12",24.000000,"A34","A410",7883.750000,"A61","A73",2,"A93","A102",3,"A123",39.000000,"A143","A152",2,"A174","A192","A201",2
107,"A14",18.000000,"A31","A40",6458.000000,"A61","A75",2,"A93","A101",4,"A124",39.000000,"A141","A152",2,"A174","A192","A201",2
108,"A12",12.000000,"A32","A40",6078.000000,"A61","A74",2,"A93","A101",2,"A123",32.000000,"A143","A152",1,"A173","A191","A201",1
109,"A11",24.000000,"A32","A42",7721.000000,"A65","A72",1,"A92","A101",2,"A122",30.000000,"A143","A152",1,"A173","A192","A202",1
110,"A12",14.000000,"A32","A49",1410.000000,"A63","A75",1,"A94","A101",2,"A121",35.000000,"A143","A152",1,"A173","A192","A201",1
111,"A12",6.000000,"A33","A49",1449.000000,"A62","A75",1,"A91","A101",2,"A123",31.000000,"A141","A152",2,"A173","A191","A201",1
112,"A13",15.000000,"A32","A46",392.000000,"A61","A72",4,"A92","A101",4,"A122",23.000000,"A143","A151",1,"A173","A192","A201",1
113,"A12",18.000000,"A32","A40",6260.000000,"A61","A74",3,"A93","A101",3,"A121",28.000000,"A143","A151",1,"A172","A191","A201",1
114,"A14",36.000000,"A34","A40",7855.000000,"A61","A73",4,"A92","A101",2,"A121",25.000000,"A142","A152",2,"A173","A192","A201",2
115,"A11",12.000000,"A32","A43",1680.000000,"A63","A75",3,"A94","A101",1,"A121",35.000000,"A143","A152",1,"A173","A191","A201",1
116,"A14",42.000000,"A34","A43",3578.000000,"A65","A75",4,"A93","A101",1,"A121",47.000000,"A143","A152",1,"A173","A192","A201",1
117,"A11",42.000000,"A32","A43",7174.000000,"A65","A74",4,"A92","A101",3,"A123",30.000000,"A143","A152",1,"A174","A192","A201",2
118,"A11",10.000000,"A34","A42",2132.000000,"A65","A72",2,"A92","A102",3,"A121",27.000000,"A143","A151",2,"A173","A191","A202",1
119,"A11",33.000000,"A34","A42",4281.000000,"A63","A73",1,"A92","A101",4,"A123",23.000000,"A143","A152",2,"A173","A191","A201",2
120,"A12",12.000000,"A34","A40",2366.000000,"A63","A74",3,"A91","A101",3,"A123",36.000000,"A143","A152",1,"A174","A192","A201",1
121,"A11",21.000000,"A32","A43",1835.000000,"A61","A73",3,"A92","A101",2,"A121",25.000000,"A143","A152",2,"A173","A192","A201",2
122,"A14",24.000000,"A34","A41",3868.000000,"A61","A75",4,"A92","A101",2,"A123",41.000000,"A143","A151",2,"A174","A192","A201",1
123,"A14",12.000000,"A32","A42",1768.000000,"A61","A73",3,"A93","A101",2,"A121",24.000000,"A143","A151",1,"A172","A191","A201",1
124,"A13",10.000000,"A34","A40",781.000000,"A61","A75",4,"A93","A101",4,"A124",63.000000,"A143","A153",2,"A173","A192","A201",1
125,"A12",18.000000,"A32","A42",1924.000000,"A65","A72",4,"A92","A101",3,"A121",27.000000,"A143","A151",1,"A173","A191","A201",2
126,"A11",12.000000,"A34","A40",2121.000000,"A61","A73",4,"A93","A101",2,"A122",30.000000,"A143","A152",2,"A173","A191","A201",1
127,"A11",12.000000,"A32","A43",701.000000,"A61","A73",4,"A94","A101",2,"A121",40.000000,"A143","A152",1,"A172","A191","A201",1
128,"A12",12.000000,"A32","A45",639.000000,"A61","A73",4,"A93","A101",2,"A123",30.000000,"A143","A152",1,"A173","A191","A201",2
129,"A12",12.000000,"A34","A41",1860.000000,"A61","A71",4,"A93","A101",2,"A123",34.000000,"A143","A152",2,"A174","A192","A201",1
130,"A11",12.000000,"A34","A40",3499.000000,"A61","A73",3,"A92","A102",2,"A121",29.000000,"A143","A152",2,"A173","A191","A201",2
131,"A12",42.000000,"A32","A40",7883.750000,"A65","A74",1,"A92","A101",2,"A123",24.000000,"A143","A152",1,"A173","A191","A201",1
132,"A11",36.000000,"A33","A46",6887.000000,"A61","A73",4,"A93","A101",3,"A122",29.000000,"A142","A152",1,"A173","A192","A201",2
133,"A14",15.000000,"A32","A42",2708.000000,"A61","A72",2,"A93","A101",3,"A122",27.000000,"A141","A152",2,"A172","A191","A201",1
134,"A14",18.000000,"A32","A42",1984.000000,"A61","A73",4,"A93","A101",4,"A124",47.000000,"A141","A153",2,"A173","A191","A201",1
135,"A14",42.000000,"A32","A43",7883.750000,"A62","A74",2,"A92","A101",4,"A121",21.000000,"A143","A152",1,"A173","A192","A201",1
136,"A14",12.000000,"A34","A43",1240.000000,"A65","A75",4,"A92","A101",2,"A121",38.000000,"A143","A152",2,"A173","A192","A201",1
137,"A14",27.000000,"A33","A41",7883.750000,"A64","A73",2,"A93","A101",2,"A123",27.000000,"A143","A152",2,"A173","A191","A201",1
138,"A12",12.000000,"A32","A43",766.000000,"A63","A73",4,"A93","A101",3,"A121",64.500000,"A143","A152",1,"A172","A191","A201",2
139,"A12",15.000000,"A34","A43",2728.000000,"A65","A74",4,"A93","A103",2,"A121",35.000000,"A141","A152",3,"A173","A192","A201",1
140,"A13",12.000000,"A32","A43",1881.000000,"A61","A73",2,"A92","A101",2,"A123",44.000000,"A143","A151",1,"A172","A192","A201",1
141,"A13",6.000000,"A32","A40",709.000000,"A64","A72",2,"A94","A101",2,"A121",27.000000,"A143","A152",1,"A171","A191","A202",1
142,"A12",36.000000,"A32","A43",4795.000000,"A61","A72",4,"A92","A101",1,"A124",30.000000,"A143","A152",1,"A174","A192","A201",1
143,"A11",27.000000,"A32","A43",3416.000000,"A61","A73",3,"A93","A101",2,"A123",27.000000,"A143","A152",1,"A174","A191","A201",1
144,"A11",18.000000,"A32","A42",2462.000000,"A61","A73",2,"A93","A101",2,"A123",22.000000,"A143","A152",1,"A173","A191","A201",2
145,"A14",21.000000,"A34","A42",2288.000000,"A61","A72",4,"A92","A101",4,"A122",23.000000,"A143","A152",1,"A173","A192","A201",1
146,"A12",42.000000,"A31","A49",3566.000000,"A62","A74",4,"A93","A101",2,"A123",30.000000,"A143","A152",1,"A173","A191","A201",1
147,"A11",6.000000,"A34","A40",860.000000,"A61","A75",1,"A92","A101",4,"A124",39.000000,"A143","A152",2,"A173","A192","A201",1
148,"A14",12.000000,"A34","A40",682.000000,"A62","A74",4,"A92","A101",3,"A123",51.000000,"A143","A152",2,"A173","A192","A201",1
149,"A11",36.000000,"A34","A42",5371.000000,"A61","A73",3,"A93","A103",2,"A122",28.000000,"A143","A152",2,"A173","A191","A201",1
150,"A14",18.000000,"A34","A43",1582.000000,"A64","A75",4,"A93","A101",4,"A123",46.000000,"A143","A152",2,"A173","A191","A201",1
151,"A14",6.000000,"A32","A43",1346.000000,"A62","A75",2,"A93","A101",4,"A124",42.000000,"A141","A153",1,"A173","A192","A201",1
152,"A14",10.000000,"A32","A43",1924.000000,"A61","A73",1,"A93","A101",4,"A122",38.000000,"A143","A152",1,"A173","A192","A202",1
153,"A13",36.000000,"A32","A43",5848.000000,"A61","A73",4,"A93","A101",1,"A123",24.000000,"A143","A152",1,"A173","A191","A201",1
154,"A12",24.000000,"A34","A41",7758.000000,"A64","A75",2,"A92","A101",4,"A124",29.000000,"A143","A151",1,"A173","A191","A201",1
155,"A12",24.000000,"A33","A49",6967.000000,"A62","A74",4,"A93","A101",4,"A123",36.000000,"A143","A151",1,"A174","A192","A201",1
156,"A11",12.000000,"A32","A42",1282.000000,"A61","A73",2,"A92","A101",4,"A123",20.000000,"A143","A151",1,"A173","A191","A201",2
157,"A11",9.000000,"A34","A45",1288.000000,"A62","A75",3,"A93","A103",4,"A121",48.000000,"A143","A152",2,"A173","A191","A202",1
158,"A11",12.000000,"A31","A48",339.000000,"A61","A75",4,"A94","A101",1,"A123",45.000000,"A141","A152",1,"A172","A191","A201",1
159,"A12",24.000000,"A32","A40",3512.000000,"A62","A74",2,"A93","A101",3,"A123",38.000000,"A141","A152",2,"A173","A192","A201",1
160,"A14",6.000000,"A34","A43",1898.000000,"A65","A73",1,"A93","A101",2,"A121",34.000000,"A143","A152",2,"A172","A191","A201",1
161,"A14",24.000000,"A34","A43",2872.000000,"A62","A75",3,"A93","A101",4,"A121",36.000000,"A143","A152",1,"A173","A192","A201",1
162,"A14",18.000000,"A34","A40",1055.000000,"A61","A72",4,"A92","A101",1,"A122",30.000000,"A143","A152",2,"A173","A191","A201",1
163,"A14",15.000000,"A32","A44",1262.000000,"A63","A74",4,"A93","A101",3,"A122",36.000000,"A143","A152",2,"A173","A192","A201",1
164,"A12",10.000000,"A32","A40",7308.000000,"A61","A71",2,"A93","A101",4,"A124",64.500000,"A141","A153",1,"A174","A192","A201",1
165,"A14",36.000000,"A32","A40",909.000000,"A63","A75",4,"A93","A101",4,"A122",36.000000,"A143","A152",1,"A173","A191","A201",1
166,"A14",6.000000,"A32","A42",2978.000000,"A63","A73",1,"A93","A101",2,"A123",32.000000,"A143","A152",1,"A173","A192","A201",1
167,"A11",18.000000,"A32","A42",1131.000000,"A61","A71",4,"A92","A101",2,"A123",33.000000,"A143","A152",1,"A173","A191","A201",2
168,"A12",11.000000,"A32","A42",1577.000000,"A64","A72",4,"A92","A101",1,"A121",20.000000,"A143","A152",1,"A173","A191","A201",1
169,"A14",24.000000,"A32","A42",3972.000000,"A61","A74",2,"A92","A101",4,"A122",25.000000,"A143","A151",1,"A173","A192","A201",1
170,"A12",24.000000,"A34","A49",1935.000000,"A61","A75",4,"A91","A101",4,"A121",31.000000,"A143","A152",2,"A173","A192","A201",2
171,"A11",15.000000,"A30","A40",950.000000,"A61","A75",4,"A93","A101",3,"A123",33.000000,"A143","A151",2,"A173","A191","A201",2
172,"A14",12.000000,"A32","A42",763.000000,"A61","A73",4,"A92","A101",1,"A121",26.000000,"A143","A152",1,"A173","A192","A201",1
173,"A12",24.000000,"A33","A42",2064.000000,"A61","A71",3,"A92","A101",2,"A122",34.000000,"A143","A152",1,"A174","A192","A201",2
174,"A12",8.000000,"A32","A43",1414.000000,"A61","A73",4,"A93","A103",2,"A121",33.000000,"A143","A152",1,"A173","A191","A202",1
175,"A11",21.000000,"A33","A46",3414.000000,"A61","A72",2,"A93","A101",1,"A122",26.000000,"A143","A152",2,"A173","A191","A201",2
176,"A14",30.000000,"A31","A41",7485.000000,"A65","A71",4,"A92","A101",1,"A121",53.000000,"A141","A152",1,"A174","A192","A201",2
177,"A11",12.000000,"A32","A42",2577.000000,"A61","A73",2,"A91","A101",1,"A123",42.000000,"A143","A152",1,"A173","A191","A201",1
178,"A11",6.000000,"A34","A43",338.000000,"A63","A75",4,"A93","A101",4,"A123",52.000000,"A143","A152",2,"A173","A191","A201",1
179,"A14",12.000000,"A32","A43",1963.000000,"A61","A74",4,"A93","A101",2,"A123",31.000000,"A143","A151",2,"A174","A192","A201",1
180,"A11",21.000000,"A34","A40",571.000000,"A61","A75",4,"A93","A101",4,"A121",64.500000,"A143","A152",2,"A173","A191","A201",1
181,"A14",36.000000,"A33","A49",7883.750000,"A61","A72",1,"A91","A101",1,"A123",28.000000,"A143","A152",2,"A173","A191","A201",2
182,"A12",36.000000,"A33","A49",4455.000000,"A61","A73",2,"A91","A101",2,"A121",30.000000,"A142","A152",2,"A174","A192","A201",2
183,"A11",21.000000,"A31","A40",1647.000000,"A65","A73",4,"A93","A101",2,"A122",40.000000,"A143","A152",2,"A172","A191","A201",2
184,"A14",24.000000,"A34","A42",3777.000000,"A64","A73",4,"A93","A101",4,"A121",50.000000,"A143","A152",1,"A173","A192","A201",1
185,"A12",18.000000,"A34","A40",884.000000,"A61","A75",4,"A93","A101",4,"A123",36.000000,"A141","A152",1,"A173","A192","A201",2
186,"A14",15.000000,"A34","A43",1360.000000,"A61","A73",4,"A93","A101",2,"A122",31.000000,"A143","A152",2,"A173","A191","A201",1
187,"A12",9.000000,"A31","A41",5129.000000,"A61","A75",2,"A92","A101",4,"A124",64.500000,"A141","A153",1,"A174","A192","A201",2
188,"A12",16.000000,"A34","A40",1175.000000,"A61","A71",2,"A93","A101",3,"A123",64.500000,"A143","A153",3,"A171","A192","A201",1
189,"A11",12.000000,"A32","A43",674.000000,"A62","A74",4,"A94","A101",1,"A122",20.000000,"A143","A152",1,"A173","A191","A201",2
190,"A12",18.000000,"A30","A42",3244.000000,"A61","A73",1,"A92","A101",4,"A123",33.000000,"A141","A152",2,"A173","A192","A201",1
191,"A14",24.000000,"A32","A49",4591.000000,"A64","A73",2,"A93","A101",3,"A122",54.000000,"A143","A152",3,"A174","A192","A201",2
192,"A12",42.000000,"A30","A49",3844.000000,"A62","A74",4,"A93","A101",4,"A124",34.000000,"A143","A153",1,"A172","A191","A201",2
