id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,response
ID12515,49,F,SUBURBAN,30198.5,YES,0,YES,NO,YES,YES,NO
ID12516,61,F,TOWN,30760.4,NO,2,YES,NO,YES,NO,NO
ID12517,65,F,TOWN,42378.2,YES,1,NO,YES,YES,NO,NO
ID12518,48,M,INNER_CITY,34182.2,YES,2,NO,YES,YES,NO,NO
ID12519,65,F,TOWN,42378.2,YES,1,NO,YES,YES,NO,NO
ID12520,65,M,SUBURBAN,51417,YES,2,NO,YES,YES,NO,NO
ID12521,19,M,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,NO
ID12522,42,M,RURAL,20736.2,YES,1,YES,YES,YES,NO,NO
ID12523,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12524,40,F,TOWN,34836.8,YES,1,YES,YES,YES,NO,NO
ID12525,20,F,TOWN,7723.9,YES,2,YES,YES,YES,NO,YES
ID12526,61,M,INNER_CITY,30157.7,NO,1,YES,NO,NO,NO,NO
ID12527,47,F,RURAL,43743.2,YES,3,NO,YES,YES,NO,YES
ID12528,27,F,INNER_CITY,18158.5,NO,1,YES,NO,YES,YES,NO
ID12529,49,M,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,NO
ID12530,52,M,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,NO
ID12531,23,F,INNER_CITY,18050,YES,0,YES,NO,YES,YES,NO
ID12532,40,M,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,NO
ID12533,41,F,TOWN,27757.6,NO,0,NO,YES,YES,NO,NO
ID12534,27,F,INNER_CITY,15281.8,NO,0,YES,NO,NO,YES,NO
ID12535,40,M,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,NO
ID12536,64,F,INNER_CITY,31415.7,NO,1,YES,YES,NO,YES,NO
ID12537,20,M,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,NO
ID12538,33,F,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,NO
ID12539,61,F,TOWN,27756.3,YES,0,YES,YES,NO,YES,NO
ID12540,35,M,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,NO
ID12541,44,F,INNER_CITY,38453.7,NO,2,NO,YES,YES,NO,NO
ID12542,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12543,33,F,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,NO
ID12544,39,M,RURAL,37389,YES,2,NO,YES,YES,NO,NO
ID12545,65,F,TOWN,42378.2,YES,1,NO,YES,YES,NO,NO
ID12546,37,F,TOWN,15349.6,YES,0,NO,YES,NO,NO,YES
ID12547,66,M,RURAL,48346.1,YES,1,YES,YES,NO,NO,NO
ID12548,48,M,SUBURBAN,17861,YES,2,NO,YES,YES,NO,YES
ID12549,67,F,RURAL,57398.1,NO,3,NO,YES,YES,NO,NO
ID12550,33,F,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,NO
ID12551,61,F,RURAL,57176.4,NO,2,NO,YES,YES,NO,NO
ID12552,65,F,TOWN,42378.2,YES,1,NO,YES,YES,NO,NO
ID12553,66,M,RURAL,48346.1,YES,1,YES,YES,NO,NO,NO
ID12554,19,M,RURAL,16625.9,YES,1,NO,NO,YES,NO,NO
ID12555,29,M,INNER_CITY,14642.2,NO,0,YES,NO,YES,NO,NO
ID12556,35,F,TOWN,30799.5,YES,2,NO,NO,YES,NO,NO
ID12557,67,F,SUBURBAN,47198.6,YES,2,NO,YES,YES,NO,NO
ID12558,40,M,RURAL,25768.6,YES,0,YES,YES,NO,NO,YES
ID12559,64,M,INNER_CITY,46587.9,NO,0,NO,YES,YES,NO,NO
ID12560,31,F,TOWN,15976.3,YES,0,YES,YES,NO,NO,NO
ID12561,47,M,SUBURBAN,36599,YES,3,YES,YES,YES,NO,NO
ID12562,47,M,SUBURBAN,36599,YES,3,YES,YES,YES,NO,NO
ID12563,44,M,SUBURBAN,18707.3,YES,0,YES,YES,YES,YES,NO
ID12564,40,M,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,NO
ID12565,20,M,INNER_CITY,18184.6,YES,0,NO,NO,YES,YES,NO
ID12566,24,M,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,NO
ID12567,43,M,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,NO
ID12568,59,M,INNER_CITY,40949.9,NO,0,NO,YES,YES,NO,NO
ID12569,38,M,RURAL,26281.4,NO,0,YES,YES,YES,NO,NO
ID12570,20,M,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,NO
ID12571,53,M,RURAL,48971.6,YES,3,YES,YES,NO,NO,NO
ID12572,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12573,21,F,RURAL,15797.1,YES,0,NO,YES,YES,NO,NO
ID12574,38,M,RURAL,26281.4,NO,0,YES,YES,YES,NO,NO
ID12575,67,F,INNER_CITY,58092,NO,2,YES,YES,YES,NO,NO
ID12576,27,F,INNER_CITY,18158.5,NO,1,YES,NO,YES,YES,NO
ID12577,42,F,RURAL,28138.5,YES,0,NO,NO,YES,YES,NO
ID12578,41,F,TOWN,27757.6,NO,0,NO,YES,YES,NO,NO
ID12579,42,M,RURAL,20736.2,YES,1,YES,YES,YES,NO,NO
ID12580,40,F,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,NO
ID12581,49,F,SUBURBAN,30198.5,YES,0,YES,NO,YES,YES,NO
ID12582,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12583,24,M,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,NO
ID12584,59,F,INNER_CITY,27045.1,NO,0,NO,NO,YES,NO,NO
ID12585,32,F,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,NO
ID12586,21,F,RURAL,15797.1,YES,0,NO,YES,YES,NO,NO
ID12587,47,M,TOWN,23337.2,YES,2,NO,YES,YES,YES,YES
ID12588,28,F,INNER_CITY,21184.7,YES,1,YES,YES,YES,NO,NO
ID12589,44,F,INNER_CITY,38453.7,NO,2,NO,YES,YES,NO,NO
ID12590,64,F,TOWN,51620.8,NO,2,YES,YES,YES,NO,NO
ID12591,35,F,TOWN,30799.5,YES,2,NO,NO,YES,NO,NO
ID12592,48,F,INNER_CITY,16662.5,YES,1,NO,YES,YES,NO,NO
ID12593,58,F,INNER_CITY,33007.3,NO,1,YES,NO,YES,NO,NO
ID12594,24,F,INNER_CITY,7756.3,NO,0,NO,NO,NO,NO,NO
ID12595,56,F,RURAL,24607.8,NO,1,NO,YES,YES,YES,YES
ID12596,49,F,SUBURBAN,30198.5,YES,0,YES,NO,YES,YES,NO
ID12597,58,F,SUBURBAN,25468.5,NO,0,YES,NO,NO,YES,NO
ID12598,60,M,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES,NO
ID12599,61,F,TOWN,27756.3,YES,0,YES,YES,NO,YES,NO
ID12600,38,M,TOWN,33302.8,NO,0,YES,NO,YES,YES,NO
ID12601,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12602,25,F,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,NO
ID12603,56,F,TOWN,26542.8,NO,0,YES,YES,YES,NO,NO
ID12604,67,F,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,NO
ID12605,35,M,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,NO
ID12606,65,F,TOWN,42378.2,YES,1,NO,YES,YES,NO,NO
ID12607,46,F,TOWN,21984.4,NO,3,NO,YES,NO,NO,YES
ID12608,63,M,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,NO
ID12609,66,F,RURAL,52769.9,YES,3,YES,YES,YES,NO,NO
ID12610,64,M,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,NO
ID12611,56,F,TOWN,26542.8,NO,0,YES,YES,YES,NO,NO
ID12612,52,M,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,NO
ID12613,64,F,TOWN,58367.3,YES,1,YES,YES,YES,NO,NO
ID12614,59,F,INNER_CITY,23175,YES,0,NO,NO,NO,YES,NO
ID12615,63,F,INNER_CITY,59805.6,YES,1,YES,YES,YES,NO,NO
ID12616,57,F,RURAL,50849.2,NO,1,NO,YES,NO,YES,NO
ID12617,53,F,INNER_CITY,24042,NO,1,NO,NO,YES,NO,NO
ID12618,32,F,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,NO
ID12619,66,F,RURAL,52769.9,YES,3,YES,YES,YES,NO,NO
ID12620,26,F,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,NO
ID12621,42,F,RURAL,28138.5,YES,0,NO,NO,YES,YES,NO
ID12622,39,M,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,NO
ID12623,61,F,RURAL,57176.4,NO,2,NO,YES,YES,NO,NO
ID12624,53,M,RURAL,48971.6,YES,3,YES,YES,NO,NO,NO
ID12625,38,M,TOWN,33302.8,NO,0,YES,NO,YES,YES,NO
ID12626,59,F,INNER_CITY,23175,YES,0,NO,NO,NO,YES,NO
ID12627,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12628,58,F,TOWN,52662.5,YES,1,YES,YES,YES,YES,NO
ID12629,43,F,TOWN,31273.8,NO,1,YES,YES,NO,NO,NO
ID12630,43,M,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,NO
ID12631,64,M,INNER_CITY,48950.9,YES,0,YES,YES,YES,YES,YES
ID12632,51,F,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO,YES
ID12633,46,M,RURAL,21096.2,YES,1,YES,YES,YES,NO,NO
ID12634,23,F,SUBURBAN,21042,YES,1,NO,NO,YES,NO,NO
ID12635,23,F,RURAL,11215.3,YES,2,YES,YES,YES,NO,NO
ID12636,63,M,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,NO
ID12637,63,M,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,NO
ID12638,38,F,INNER_CITY,12163.9,YES,2,YES,NO,YES,NO,NO
ID12639,53,M,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,NO
ID12640,42,F,RURAL,28138.5,YES,0,NO,NO,YES,YES,NO
ID12641,39,M,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,NO
ID12642,24,F,TOWN,9465.2,NO,0,NO,NO,YES,NO,NO
ID12643,41,M,RURAL,25132.9,YES,0,NO,NO,YES,NO,YES
ID12644,31,F,TOWN,15976.3,YES,0,YES,YES,NO,NO,NO
ID12645,37,M,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,NO
ID12646,33,F,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,NO
ID12647,38,M,TOWN,26671.6,NO,0,YES,NO,YES,YES,NO
ID12648,52,F,INNER_CITY,22792.3,YES,1,YES,YES,NO,NO,NO
ID12649,29,M,INNER_CITY,14642.2,NO,0,YES,NO,YES,NO,NO
ID12650,64,F,TOWN,51620.8,NO,2,YES,YES,YES,NO,NO
ID12651,53,F,INNER_CITY,24042,NO,1,NO,NO,YES,NO,NO
ID12652,20,M,TOWN,17239.5,NO,1,YES,NO,YES,NO,NO
ID12653,63,M,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,NO
ID12654,22,F,SUBURBAN,11595.4,NO,0,YES,YES,YES,NO,NO
ID12655,64,F,INNER_CITY,31415.7,NO,1,YES,YES,NO,YES,NO
ID12656,34,F,RURAL,19481.3,NO,0,NO,NO,YES,YES,NO
ID12657,46,F,TOWN,17149.2,NO,1,YES,YES,YES,NO,NO
ID12658,22,M,INNER_CITY,7304.2,NO,0,YES,YES,YES,YES,YES
ID12659,39,M,RURAL,37389,YES,2,NO,YES,YES,NO,NO
ID12660,53,F,INNER_CITY,37850.6,NO,1,NO,YES,YES,NO,NO
ID12661,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12662,35,F,TOWN,20262.6,NO,0,NO,YES,NO,NO,NO
ID12663,43,M,TOWN,38540,NO,0,YES,YES,NO,YES,YES
ID12664,33,F,INNER_CITY,31207.1,NO,0,YES,NO,YES,YES,NO
ID12665,38,M,TOWN,26671.6,NO,0,YES,NO,YES,YES,NO
ID12666,53,M,RURAL,48971.6,YES,3,YES,YES,NO,NO,NO
ID12667,34,F,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,NO
ID12668,32,M,INNER_CITY,14511.8,NO,2,NO,YES,NO,YES,YES
ID12669,40,M,INNER_CITY,24823.5,NO,2,NO,NO,YES,NO,YES
ID12670,49,M,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,NO
ID12671,30,M,INNER_CITY,14606.6,YES,1,NO,NO,YES,NO,YES
ID12672,49,M,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,NO
ID12673,46,M,TOWN,43395.5,NO,1,YES,YES,YES,NO,NO
ID12674,42,M,RURAL,20736.2,YES,1,YES,YES,YES,NO,NO
ID12675,63,M,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,NO
ID12676,48,F,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,NO
ID12677,24,M,INNER_CITY,16352.2,NO,0,NO,YES,YES,YES,YES
ID12678,44,F,INNER_CITY,38453.7,NO,2,NO,YES,YES,NO,NO
ID12679,58,F,TOWN,52662.5,YES,1,YES,YES,YES,YES,NO
ID12680,62,M,TOWN,45342.5,YES,0,YES,YES,NO,NO,NO
ID12681,26,F,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,NO
ID12682,35,M,INNER_CITY,16479.5,YES,0,YES,NO,NO,YES,NO
ID12683,40,M,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,NO
ID12684,38,M,TOWN,33302.8,NO,0,YES,NO,YES,YES,NO
ID12685,48,F,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,NO
ID12686,30,F,INNER_CITY,9672.2,YES,0,YES,YES,YES,NO,YES
ID12687,60,M,SUBURBAN,37554.1,YES,2,YES,YES,YES,YES,NO
ID12688,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12689,37,M,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,NO
ID12690,32,M,TOWN,24027.6,NO,0,NO,YES,YES,NO,NO
ID12691,64,M,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,NO
ID12692,19,M,SUBURBAN,17986.8,YES,0,NO,NO,YES,YES,NO
ID12693,67,F,RURAL,57398.1,NO,3,NO,YES,YES,NO,NO
ID12694,27,F,INNER_CITY,15281.8,NO,0,YES,NO,NO,YES,NO
ID12695,59,M,INNER_CITY,40949.9,NO,0,NO,YES,YES,NO,NO
ID12696,41,F,SUBURBAN,21984,YES,1,YES,NO,NO,NO,NO
ID12697,40,F,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,NO
ID12698,19,M,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,NO
ID12699,58,M,RURAL,49673.6,YES,0,NO,YES,YES,NO,YES
ID12700,64,F,TOWN,58367.3,YES,1,YES,YES,YES,NO,NO
ID12701,48,M,INNER_CITY,34182.2,YES,2,NO,YES,YES,NO,NO
ID12702,59,F,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,NO
ID12703,48,M,TOWN,43057,NO,1,YES,YES,YES,NO,NO
ID12704,35,M,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,NO
ID12705,49,F,RURAL,33665.5,NO,3,YES,NO,YES,NO,YES
ID12706,67,F,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,NO
ID12707,52,M,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,NO
ID12708,43,F,RURAL,18565.8,YES,1,YES,YES,YES,YES,NO
ID12709,67,F,RURAL,57398.1,NO,3,NO,YES,YES,NO,NO
ID12710,38,F,RURAL,34061.4,NO,0,YES,YES,YES,NO,NO
ID12711,59,F,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,NO
ID12712,53,F,INNER_CITY,24042,NO,1,NO,NO,YES,NO,NO
ID12713,38,M,TOWN,26671.6,NO,0,YES,NO,YES,YES,NO
ID12714,31,M,SUBURBAN,22362.3,NO,0,NO,YES,YES,NO,NO
ID12715,28,M,TOWN,20555,NO,0,YES,YES,YES,NO,NO
ID12716,56,M,INNER_CITY,47750.2,YES,0,YES,YES,YES,YES,YES
ID12717,52,M,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,NO
ID12718,53,M,RURAL,48971.6,YES,3,YES,YES,NO,NO,NO
ID12719,59,M,INNER_CITY,40949.9,NO,0,NO,YES,YES,NO,NO
ID12720,67,F,INNER_CITY,58092,NO,2,YES,YES,YES,NO,NO
ID12721,19,M,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,NO
ID12722,29,M,INNER_CITY,14642.2,NO,0,YES,NO,YES,NO,NO
ID12723,67,F,SUBURBAN,47198.6,YES,2,NO,YES,YES,NO,NO
ID12724,28,F,INNER_CITY,21184.7,YES,1,YES,YES,YES,NO,NO
ID12725,58,F,TOWN,33204.3,NO,1,NO,NO,NO,YES,NO
ID12726,31,F,TOWN,22678.1,NO,1,YES,YES,YES,YES,NO
ID12727,20,M,TOWN,17239.5,NO,1,YES,NO,YES,NO,NO
ID12728,26,F,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,NO
ID12729,63,M,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,NO
ID12730,50,M,TOWN,40972.9,NO,2,YES,YES,YES,YES,NO
ID12731,58,F,INNER_CITY,33007.3,NO,1,YES,NO,YES,NO,NO
ID12732,40,F,TOWN,34836.8,YES,1,YES,YES,YES,NO,NO
ID12733,49,M,INNER_CITY,41438,NO,1,NO,YES,NO,NO,NO
ID12734,40,M,INNER_CITY,29414.6,YES,1,NO,YES,NO,YES,NO
ID12735,34,F,RURAL,19481.3,NO,0,NO,NO,YES,YES,NO
ID12736,53,F,INNER_CITY,32184.4,YES,2,YES,NO,NO,NO,NO
ID12737,65,F,INNER_CITY,61554.6,YES,0,NO,YES,YES,NO,YES
ID12738,41,F,TOWN,27757.6,NO,0,NO,YES,YES,NO,NO
ID12739,46,M,TOWN,43395.5,NO,1,YES,YES,YES,NO,NO
ID12740,63,M,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,NO
ID12741,62,M,TOWN,45342.5,YES,0,YES,YES,NO,NO,NO
ID12742,61,F,TOWN,27756.3,YES,0,YES,YES,NO,YES,NO
