ID,target,predicted_target,predicted_probability
115,1,1,0.766
116,1,1,0.958
117,2,1,0.528
119,2,1,0.524
121,2,1,0.570
122,1,1,0.927
123,1,1,0.939
124,1,1,0.867
125,2,1,0.762
126,1,1,0.595
128,2,1,0.608
129,1,1,0.934
130,2,1,0.563
131,1,2,0.608
132,2,2,0.866
133,1,1,0.870
134,1,1,0.881
135,1,1,0.875
136,1,1,0.979
137,1,1,0.975
138,2,1,0.919
141,1,1,0.877
142,1,2,0.786
143,1,1,0.516
144,2,1,0.673
145,1,1,0.890
146,1,2,0.505
147,1,2,0.559
148,1,1,0.962
149,1,1,0.573
150,1,1,0.981
151,1,1,0.940
152,1,1,0.939
155,1,1,0.780
156,2,2,0.508
157,1,1,0.863
158,1,1,0.586
159,1,1,0.636
160,1,1,0.989
161,1,1,0.973
163,1,1,0.915
164,1,2,0.552
165,1,1,0.739
166,1,1,0.964
167,2,1,0.588
169,1,1,0.857
170,2,1,0.560
172,1,1,0.942
174,1,1,0.874
175,2,2,0.621
176,2,1,0.877
177,1,1,0.519
179,1,1,0.943
180,1,1,0.759
181,2,2,0.529
182,2,2,0.798
183,2,2,0.597
184,1,1,0.986
185,2,1,0.569
186,1,1,0.948
187,2,1,0.632
188,1,1,0.824
189,2,1,0.813
190,1,2,0.697
191,2,1,0.938
192,2,2,0.622
194,1,1,0.954
195,2,2,0.575
196,2,1,0.632
197,1,1,0.941
201,1,1,0.946
202,1,2,0.503
204,2,1,0.798
205,1,1,0.946
207,1,1,0.983
208,1,1,0.787
209,1,2,0.825
210,1,1,0.995
211,1,1,0.986
212,1,1,0.911
213,2,2,0.866
214,2,1,0.893
215,1,1,0.953
216,1,1,0.979
217,1,2,0.664
218,1,1,0.743
219,1,2,0.687
220,1,1,0.857
221,1,1,0.638
222,1,2,0.756
223,1,1,0.927
225,1,1,0.962
226,1,2,0.603
227,2,2,0.522
228,2,1,0.716
230,1,2,0.641
231,2,1,0.656
232,1,1,0.890
236,2,2,0.616
237,2,1,0.694
238,2,2,0.675
239,1,1,0.928
240,1,1,0.546
241,2,2,0.696
242,1,1,0.979
243,2,2,0.728
244,1,1,0.933
245,1,1,0.941
246,1,1,0.946
247,1,1,0.981
248,1,2,0.537
249,1,1,0.883
250,2,1,0.836
251,1,1,0.912
252,1,1,0.861
253,2,2,0.903
255,1,1,0.952
256,1,1,0.748
257,1,1,0.953
258,2,2,0.810
259,1,1,0.951
260,1,1,0.979
261,1,1,0.824
262,1,1,0.558
263,1,2,0.530
265,1,1,0.947
266,2,1,0.797
267,1,1,0.940
268,1,1,0.682
269,2,2,0.796
270,1,1,0.943
271,1,1,0.943
272,1,1,0.965
273,1,2,0.828
275,2,2,0.957
277,1,1,0.897
278,1,1,0.723
279,2,1,0.907
280,1,1,0.884
281,1,1,0.967
282,1,1,0.974
283,1,1,0.877
284,1,1,0.988
286,1,2,0.859
287,1,1,0.713
288,1,1,0.635
289,1,1,0.814
290,2,1,0.517
292,2,2,0.576
293,1,1,0.712
294,1,1,0.876
296,2,2,0.694
298,1,1,0.941
299,1,1,0.961
300,1,1,0.959
301,1,1,0.905
302,2,2,0.777
303,2,1,0.914
305,2,1,0.528
306,1,1,0.964
308,2,1,0.540
310,1,1,0.501
311,1,1,0.526
313,1,1,0.686
314,2,1,0.530
315,1,1,0.911
316,2,2,0.766
317,1,1,0.778
318,1,1,0.777
319,1,1,0.901
320,1,1,0.666
321,2,2,0.634
322,2,2,0.741
323,1,1,0.839
324,1,1,0.835
325,1,1,0.878
326,1,1,0.861
329,1,1,0.686
331,1,1,0.831
333,2,2,0.822
334,2,1,0.761
335,2,2,0.906
336,2,1,0.673
337,1,1,0.588
338,2,2,0.681
339,1,1,0.601
340,1,1,0.619
341,1,2,0.733
342,1,1,0.563
343,1,1,0.592
345,1,1,0.706
347,1,1,0.872
348,1,2,0.743
349,1,1,0.979
350,2,1,0.831
351,1,1,0.700
352,2,1,0.764
353,1,1,0.976
354,2,2,0.728
357,1,1,0.989
359,1,1,0.932
360,2,1,0.582
361,1,1,0.716
362,1,1,0.933
364,1,1,0.883
365,2,1,0.671
366,1,1,0.956
367,1,1,0.986
369,2,1,0.565
371,1,1,0.864
374,1,1,0.725
375,2,2,0.753
377,1,1,0.934
378,1,1,0.977
379,2,2,0.685
380,1,1,0.943
381,1,1,0.908
382,2,1,0.694
384,1,1,0.780
386,1,1,0.897
387,1,1,0.896
388,1,1,0.682
389,1,1,0.697
390,1,1,0.928
393,1,2,0.757
394,1,1,0.851
395,1,1,0.968
396,1,2,0.685
397,1,1,0.635
398,1,1,0.568
399,2,2,0.622
400,1,1,0.970
401,1,1,0.911
402,1,1,0.778
404,1,1,0.881
405,1,1,0.799
406,2,2,0.507
407,1,1,0.993
408,1,1,0.636
410,2,1,0.916
411,1,1,0.533
412,1,1,0.972
413,2,1,0.890
415,2,2,0.586
419,1,1,0.752
420,2,1,0.580
421,1,1,0.868
422,1,1,0.945
424,1,1,0.989
425,2,1,0.741
426,1,1,0.689
427,1,1,0.916
428,1,1,0.987
429,1,1,0.952
430,2,2,0.585
431,1,1,0.984
432,2,1,0.566
434,1,1,0.719
435,1,1,0.834
436,2,1,0.869
437,1,1,0.910
438,1,1,0.932
439,1,2,0.628
440,2,1,0.629
441,1,1,0.875
442,1,1,0.634
443,1,1,0.741
444,2,1,0.802
445,2,1,0.503
446,1,1,0.891
447,2,2,0.844
448,1,1,0.875
449,1,1,0.961
450,2,1,0.654
451,1,1,0.964
453,1,1,0.872
454,1,1,0.957
457,1,1,0.600
459,1,2,0.540
460,1,1,0.886
462,1,1,0.559
463,1,1,0.686
464,1,1,0.954
465,1,1,0.885
466,1,1,0.605
467,2,2,0.635
468,1,1,0.829
469,1,1,0.742
470,1,1,0.981
472,2,2,0.648
473,2,1,0.537
474,1,1,0.988
475,2,1,0.751
478,1,1,0.778
480,1,1,0.854
483,1,1,0.610
484,1,1,0.983
485,1,1,0.955
486,2,1,0.764
487,1,1,0.945
488,1,1,0.694
489,1,1,0.912
490,1,1,0.784
491,1,1,0.917
492,2,2,0.833
493,1,1,0.961
495,1,1,0.622
496,2,1,0.658
498,1,1,0.975
499,1,1,0.759
500,1,1,0.753
501,2,2,0.801
502,1,1,0.618
503,1,1,0.893
504,2,1,0.613
506,2,1,0.920
508,2,2,0.581
509,1,1,0.829
510,1,1,0.943
511,2,1,0.758
515,1,1,0.882
516,1,1,0.730
517,1,1,0.762
518,2,1,0.662
519,1,1,0.727
521,1,1,0.808
524,1,1,0.970
525,1,1,0.708
526,1,1,0.750
527,1,1,0.877
528,1,1,0.991
529,2,2,0.870
530,1,1,0.679
531,1,1,0.502
533,1,1,0.971
534,1,1,0.940
536,2,2,0.695
537,1,1,0.689
538,1,1,0.778
539,2,2,0.902
540,1,1,0.636
542,1,1,0.853
545,1,1,0.961
547,1,1,0.775
548,1,1,0.907
549,2,2,0.647
550,1,1,0.971
551,1,1,0.968
552,1,1,0.875
553,2,1,0.512
554,1,1,0.760
556,2,1,0.568
557,2,2,0.753
558,2,2,0.574
559,2,2,0.534
560,2,1,0.886
561,1,1,0.796
562,2,2,0.706
563,1,1,0.769
564,2,2,0.614
565,1,1,0.687
566,1,1,0.748
567,2,2,0.593
568,1,1,0.969
569,1,1,0.802
570,2,2,0.776
571,2,2,0.580
573,1,1,0.906
575,1,1,0.813
576,1,1,0.937
578,1,1,0.856
579,2,2,0.832
580,1,1,0.915
581,2,1,0.652
582,1,1,0.692
583,1,1,0.915
584,2,2,0.879
585,1,1,0.877
586,2,2,0.608
588,1,1,0.727
589,2,2,0.544
590,2,1,0.884
591,1,1,0.917
593,1,1,0.904
594,2,2,0.802
596,2,2,0.738
597,2,2,0.721
598,2,2,0.543
599,2,1,0.882
600,1,1,0.848
601,1,1,0.804
603,2,2,0.830
605,1,1,0.806
606,1,2,0.610
608,2,1,0.528
609,1,1,0.934
610,1,1,0.972
611,2,2,0.604
612,2,1,0.753
613,1,2,0.518
614,1,2,0.794
617,1,1,0.580
618,1,1,0.657
620,1,1,0.791
621,1,1,0.824
622,2,1,0.800
623,2,1,0.591
625,2,1,0.675
626,1,1,0.964
627,1,1,0.953
628,2,1,0.574
629,1,1,0.933
630,1,1,0.967
631,1,2,0.585
632,2,2,0.560
635,2,2,0.701
636,1,1,0.802
637,1,1,0.918
638,1,1,0.869
641,2,2,0.620
642,1,1,0.615
643,2,1,0.876
645,1,1,0.785
646,2,1,0.773
647,1,2,0.818
648,2,1,0.784
649,2,1,0.626
650,2,2,0.599
651,1,2,0.729
653,2,1,0.546
655,1,1,0.985
656,1,2,0.664
658,1,1,0.849
659,1,2,0.822
660,1,1,0.748
662,2,1,0.545
663,1,1,0.964
664,1,1,0.804
665,1,1,0.801
666,1,1,0.800
667,1,1,0.513
668,1,2,0.683
669,2,2,0.500
670,1,1,0.853
671,1,1,0.923
673,1,1,0.580
675,2,1,0.905
676,1,1,0.851
677,1,1,0.941
678,2,2,0.567
679,1,1,0.559
680,1,1,0.885
681,1,1,0.718
684,1,1,0.848
685,1,1,0.748
686,1,1,0.653
687,1,1,0.977
688,1,2,0.519
689,1,1,0.965
690,1,1,0.663
693,1,1,0.731
694,1,1,0.849
695,1,1,0.939
696,1,1,0.976
697,1,1,0.920
698,1,1,0.848
699,1,1,0.938
701,2,1,0.884
703,1,1,0.793
704,1,1,0.599
705,1,2,0.613
707,2,2,0.519
708,2,2,0.698
709,1,1,0.792
711,1,1,0.927
712,2,2,0.779
713,1,1,0.989
714,1,1,0.863
715,2,2,0.770
716,1,1,0.984
717,1,1,0.958
718,1,1,0.889
719,1,1,0.919
720,1,1,0.549
721,2,1,0.715
722,2,2,0.766
723,2,2,0.541
725,2,1,0.579
726,1,1,0.947
727,1,1,0.947
731,1,1,0.673
732,2,1,0.529
733,1,1,0.909
734,1,1,0.937
737,2,1,0.548
738,1,1,0.537
740,2,2,0.830
741,1,2,0.659
742,1,1,0.554
743,1,1,0.952
744,1,2,0.606
745,1,1,0.810
746,1,1,0.539
748,2,2,0.534
749,1,1,0.972
750,1,1,0.983
751,1,1,0.662
752,2,2,0.736
753,1,1,0.816
754,1,1,0.897
755,2,1,0.953
757,1,1,0.937
760,2,1,0.649
761,1,1,0.927
762,2,1,0.653
763,1,1,0.664
764,2,1,0.876
765,1,1,0.910
766,1,1,0.726
767,2,2,0.749
768,1,1,0.970
769,1,1,0.813
770,1,1,0.983
772,2,2,0.906
773,1,1,0.975
774,1,1,0.942
775,1,1,0.779
778,1,1,0.738
780,1,2,0.524
781,2,1,0.815
782,1,1,0.969
783,1,1,0.837
784,2,2,0.612
785,1,1,0.870
786,1,1,0.821
787,1,1,0.925
788,1,1,0.971
790,2,2,0.911
791,2,1,0.552
792,1,1,0.975
793,1,1,0.978
794,1,1,0.618
795,1,1,0.803
796,1,1,0.891
797,2,1,0.930
798,1,1,0.881
801,1,1,0.851
802,1,1,0.657
804,1,1,0.981
805,1,1,0.511
809,1,2,0.681
810,2,2,0.823
812,1,1,0.849
813,2,1,0.817
814,2,2,0.772
815,2,2,0.685
816,1,2,0.793
820,2,1,0.501
822,1,1,0.782
823,2,2,0.579
824,1,1,0.810
827,2,2,0.722
828,2,1,0.559
830,1,1,0.557
831,1,1,0.920
833,2,2,0.926
836,2,2,0.781
837,1,1,0.934
838,1,1,0.919
839,1,1,0.895
841,2,1,0.637
842,1,1,0.956
843,2,1,0.748
844,1,1,0.809
847,2,1,0.868
848,1,1,0.745
850,2,1,0.744
851,2,2,0.805
852,1,1,0.992
854,2,2,0.642
855,1,1,0.734
856,1,1,0.835
858,1,1,0.943
859,2,2,0.703
860,1,1,0.894
861,1,1,0.989
862,2,1,0.867
863,2,1,0.527
864,1,1,0.951
865,2,1,0.905
866,1,1,0.847
867,1,2,0.717
868,1,1,0.939
869,1,1,0.852
870,1,1,0.522
871,1,1,0.914
872,1,1,0.925
873,1,1,0.889
875,1,1,0.725
876,1,1,0.797
877,1,2,0.755
878,1,1,0.819
879,2,2,0.589
880,1,1,0.969
881,1,1,0.971
882,1,1,0.893
883,1,1,0.797
887,1,1,0.835
888,2,2,0.684
889,1,1,0.741
890,1,1,0.855
891,1,2,0.541
892,1,1,0.962
893,1,2,0.514
894,1,1,0.811
896,1,1,0.959
897,1,2,0.706
899,1,1,0.953
900,2,1,0.715
901,2,2,0.648
902,1,1,0.852
903,1,1,0.963
906,1,1,0.661
907,1,1,0.777
908,1,2,0.647
909,1,1,0.957
910,1,1,0.749
911,1,1,0.847
912,2,1,0.506
913,1,1,0.639
915,2,2,0.800
916,2,2,0.887
918,2,2,0.674
920,2,1,0.545
921,1,1,0.864
922,1,1,0.909
923,2,2,0.594
924,1,1,0.634
926,2,2,0.770
927,1,2,0.502
928,2,2,0.514
929,1,1,0.951
930,1,1,0.727
932,2,1,0.643
933,1,1,0.943
934,1,1,0.971
936,2,2,0.566
937,2,1,0.873
940,1,1,0.983
941,1,1,0.912
943,1,1,0.956
944,1,1,0.980
945,1,2,0.507
947,2,2,0.627
948,1,1,0.852
950,2,1,0.928
951,1,1,0.671
952,2,1,0.607
953,2,1,0.618
954,2,1,0.705
955,1,2,0.651
958,1,1,0.925
960,1,1,0.775
961,1,1,0.948
963,1,1,0.819
965,1,2,0.513
966,1,1,0.639
967,2,1,0.744
968,1,1,0.767
969,1,1,0.801
970,1,1,0.725
971,1,1,0.746
972,1,1,0.742
974,2,2,0.888
976,1,1,0.802
978,1,1,0.867
980,2,2,0.740
981,2,1,0.864
982,2,2,0.564
983,1,2,0.518
984,2,1,0.573
985,1,1,0.970
986,1,1,0.578
988,1,1,0.967
989,1,1,0.650
990,1,1,0.817
991,1,1,0.931
992,1,1,0.854
993,1,1,0.715
994,1,2,0.531
995,1,1,0.940
998,1,1,0.945
999,2,2,0.702
1000,1,1,0.831
