StockCode,InvoiceNo
"15056BL",556820
"15056BL",546466
"15056BL",539635
"15056BL",552039
"15056BL",575919
"15056BL",542922
"15056BL",572307
"15056BL",564479
"15056BL",541226
"15056BL",560988
"15056BL",563729
"15056BL",542904
"15056BL",571183
"15056BL",551658
"15056N",557484
"15056N",540662
"15056N",564256
"15056N",546412
"15056N",572307
"15056N",566217
"15056N",541857
"15056N",575321
"15056N",541293
"15056N",544398
"15056N",566668
"15056N",538592
"15056N",543731
"15056N",553691
"15056N",546992
"15056N",565682
"15056N",545690
"15056N",546918
"15056N",541216
"15056N",538263
"15056N",546466
"15056N",563543
"15056N",558431
"15056N",569691
"15056N",580680
"15056N",541137
"15056N",559784
"15056N",555947
"15056N",543731
"15056N",557214
"15056N",547378
"15056N",545349
"15056N",561295
"15056N",559011
"15056N",552039
"15056N",565117
"15056N",576899
"15056N",572124
"15056N",576374
"15056N",558558
"15056N",543924
"15056N",543653
"15056N",545657
"15056N",553686
"15056N",557069
"15056N",545319
"15056N",575046
"15056N",559459
"15056N",567472
"15056N",551618
"15056N",560577
"15056N",541285
"15056N",540396
"15056N",560504
"15056N",575728
"15056N",546384
"15056N",561051
"15056N",543174
"15056N",539642
"15056N",571183
"15056N",560580
"15056N",565413
"15056N",536381
"15056N",544903
"15056N",551650
"15056N",550035
"15056N",560718
"15056N",565329
"15056N",565118
"15056N",574882
"15056N",560853
"15056N",562619
"15056N",536576
"15056N",546422
"15056N",547649
"15056N",557257
"15056N",566086
"15056N",544314
"15056N",546580
"15056N",546249
"15056N",574328
"15056N",547106
"15056N",542003
"15056N",543674
"15056N",555855
"15056N",551273
"15056N",552304
"15056N",558076
"15056N",552811
"15056N",566625
"15056N",555400
"15056N",559016
"15056N",543481
"15056N",556064
"15056N",559158
"15056N",552372
"15056N",547651
"15056N",559141
"15056N",563246
"15056N",558696
"15056N",579708
"15056N",539247
"15056N",563951
"15056N",548858
"15056N",545653
"15056N",537227
"15056N",564092
"15056N",579986
"15056N",544191
"15056N",563262
"15056N",569580
"15056N",544074
"15056N",539635
"15056N",570886
"15056N",577098
"15056N",551813
"15056N",556576
"15056N",563729
"15056N",540024
"15056N",550129
"15056N",543124
"15056N",558902
"15056N",539293
"15056N",561112
"15056N",545821
"15056N",573879
"15056N",540162
"15056N",579103
"15056N",579560
"15056N",554644
"15056N",552574
"15056N",569227
"15056N",563028
"15056N",565329
"15056N",556820
"15056N",562093
"15056N",562158
"15056N",581495
"15056N",537262
"15056N",540239
"15056N",550314
"15056N",575919
"15056N",566195
"15056N",561195
"15056N",567296
"15056N",539320
"15056N",542922
"15056N",551440
"15056N",560988
"15056N",568376
"15056N",556732
"15056N",567798
"15056N",545288
"15056N",558535
"15056N",550973
"15056N",560579
"15056N",566558
"15056N",572274
"15056N",546731
"15056N",557628
"15056N",562701
"15056N",544445
"15056N",542904
"15056N",570797
"15056N",563638
"15056N",568654
"15056N",553572
"15056N",565587
"15056N",536989
"15056N",544062
"15056N",572769
"15056N",546922
"15056N",542890
"15056N",541226
"15056N",562534
"15056N",553855
"15056N",541238
"15056N",554964
"15056N",577095
"15056N",541552
"15056N",566718
"15056N",551193
"15056N",555650
"15056N",570257
"15056N",555015
"15056N",570197
"15056N",557320
"15056N",549730
"15056N",560790
"15056N",562429
"15056N",543463
"15056N",539295
"15056N",557476
"15056N",538839
"15056N",541279
"20676",573548
"20676",548686
"20676",565122
"20676",553006
"20676",556455
"20676",540957
"20676",540957
"20676",580727
"20676",566018
"20676",537126
"20676",548742
"20676",555240
"20676",569893
"20676",545290
"20676",575219
"20676",547969
"20676",548984
"20676",575199
"20676",553860
"20676",566018
"20676",560415
"20676",548612
"20676",556021
"20676",557976
"20676",554628
"20676",565931
"20676",548293
"20676",543652
"20676",548461
"20676",575902
"20676",557129
"20676",544918
"20676",580357
"20676",549693
"20676",545988
"20676",550149
"20676",571965
"20676",559068
"20676",555553
"20676",547903
"20676",559783
"20676",560566
"20676",538053
"20676",564248
"20676",559814
"20676",540359
"20676",542673
"20676",543774
"20676",571441
"20676",546160
"20676",557410
"20676",549130
"20676",541223
"20676",553935
"20676",540523
"20676",551656
"20676",562960
"20676",542789
"20676",552821
"20676",545721
"20676",566275
"20676",562880
"20676",543264
"20676",550480
"20676",555352
"20676",541293
"20676",562779
"20676",579792
"20676",552333
"20676",567512
"20676",551558
"20676",563155
"20676",540176
"20676",538012
"20676",558700
"20676",577156
"20676",536634
"20676",561363
"20676",557263
"20676",580903
"20676",567126
"20676",547066
"20676",550579
"20676",577748
"20676",581113
"20676",537034
"20676",567898
"20676",565322
"20676",559863
"20676",540149
"20676",540023
"20676",538799
"20676",559032
"20676",541206
"20676",545582
"20676",573263
"20676",575298
"20676",569828
"20676",544355
"20676",563543
"20676",581425
"20676",538567
"20676",541239
"20676",572066
"20676",568060
"20676",576861
"20676",541575
"20676",539588
"20676",540372
"20676",545462
"20676",547381
"20676",546107
"20676",540994
"20676",557956
"20676",544817
"20676",576051
"20676",567656
"20676",563935
"20676",578805
"20676",550994
"20676",545085
"20676",577742
"20676",541216
"20676",545085
"20676",552574
"20676",562345
"20676",550964
"20679",579792
"20679",548186
"20679",539295
"20679",578075
"20679",557320
"20679",576374
"20679",544903
"20679",566718
"20679",571809
"20679",581433
"20679",553855
"20679",540407
"20679",538093
"20679",543481
"20679",567183
"20679",567656
"20679",565682
"20679",542890
"20679",571183
"20679",546580
"20679",547651
"20679",560422
"20679",567980
"20679",560579
"20679",543668
"20679",573035
"20679",545668
"20679",536595
"20679",577095
"20679",543281
"20679",561195
"20679",553044
"20679",558696
"20679",565851
"20679",553390
"20679",572274
"20679",570197
"20679",577295
"20679",567095
"20679",564479
"20679",547041
"20679",555110
"20679",546918
"20679",564256
"20679",540396
"20679",540372
"20679",567472
"20679",564372
"20679",561485
"20679",547712
"20679",542904
"20679",557636
"20679",572124
"20679",558232
"20679",579560
"20679",538255
"20679",560689
"20679",541289
"20679",539320
"20679",568417
"20679",556732
"20679",559141
"20679",547106
"20679",560577
"20679",547649
"20679",568046
"20679",568376
"20679",575728
"20679",552304
"20679",572192
"20679",559459
"20679",537614
"20679",574882
"20679",538839
"20679",566079
"20679",539610
"20679",568654
"20679",572307
"20679",571409
"20679",578523
"20679",552039
"20679",566967
"20679",546466
"20679",573879
"20679",560368
"20679",553686
"20679",570886
"20679",562158
"20679",564091
"20679",575919
"20679",574328
"20679",542897
"20679",540239
"20679",538592
"20679",556671
"20679",541226
"20679",576899
"20679",542922
"20679",540504
"20679",544915
"20679",567798
"20679",568346
"20679",544918
"20679",562093
"20679",556056
"20679",554160
"20679",572887
"20679",573891
"20679",544194
"20679",568651
"20679",540568
"20679",541279
"20679",557484
"20679",558535
"20679",548529
"20679",536974
"20679",536804
"20679",563543
"20679",557476
"20679",560988
"20685",560732
"20685",560925
"20685",556903
"20685",541950
"20685",536562
"20685",551656
"20685",549713
"20685",548757
"20685",542990
"20685",556441
"20685",562381
"20685",561036
"20685",558235
"20685",541489
"20685",546739
"20685",560854
"20685",562282
"20685",536784
"20685",552547
"20685",566123
"20685",578270
"20685",541564
"20685",544189
"20685",548185
"20685",548449
"20685",561109
"20685",576906
"20685",580385
"20685",548612
"20685",537140
"20685",542578
"20685",558532
"20685",547106
"20685",540994
"20685",577312
"20685",557470
"20685",580997
"20685",550637
"20685",555920
"20685",541289
"20685",559317
"20685",569653
"20685",538799
"20685",562598
"20685",552038
"20685",569491
"20685",537464
"20685",563698
"20685",547103
"20685",547664
"20685",541789
"20685",540130
"20685",560579
"20685",563745
"20685",573264
"20685",543474
"20685",541864
"20685",544355
"20685",541518
"20685",571284
"20685",544892
"20685",559654
"20685",542929
"20685",573138
"20685",542265
"20685",561396
"20685",560845
"20685",544479
"20685",557628
"20685",546983
"20685",571442
"20685",555570
"20685",541886
"20685",553219
"20685",539246
"20685",577747
"20685",579458
"20685",554827
"20685",537868
"20685",565388
"20685",574559
"20685",544294
"20685",561463
"20685",562201
"20685",581412
"20685",545721
"20685",546028
"20685",556927
"20685",569143
"20685",556255
"20685",555553
"20685",547895
"20685",539181
"20685",537818
"20685",544112
"20685",568379
"20685",560035
"20685",570115
"20685",574009
"20685",581098
"20685",568712
"20685",558776
"20685",576564
"20685",581216
"20685",546922
"20685",558248
"20685",568712
"20685",554943
"20685",538307
"20685",553352
"20685",573903
"20685",577749
"20685",574898
"20685",564248
"20685",554999
"20685",541847
"20685",578510
"20685",548497
"20685",543478
"20685",553158
"20685",563589
"20685",536783
"20685",552465
"20685",566042
"20685",544450
"20685",557572
"20685",537897
"20685",580500
"20685",552839
"20685",565118
"20685",573168
"20685",581401
"20685",551152
"20685",575178
"20685",571629
"20685",538191
"20685",543124
"20685",581586
"20685",562348
"20685",536532
"20685",572294
"20685",553093
"20685",579393
"20685",545999
"20685",558775
"20685",545995
"20685",555934
"20685",577973
"20685",547201
"20685",551725
"20685",573576
"20685",542228
"20685",581196
"20685",568536
"20685",560997
"20685",569469
"20685",545996
"20685",569030
"20685",543120
"20685",568668
"20685",579131
"20685",565420
"20685",542506
"20685",537256
"20685",549730
"20685",565420
"20685",580258
"20685",581433
"20685",557954
"20685",553390
"20685",544749
"20685",542597
"20685",551982
"20685",564912
"20685",542143
"20685",552321
"20685",547898
"20685",560718
"20685",578420
"20685",560729
"20685",538353
"20685",539256
"20685",554015
"20685",537262
"20685",551809
"20685",541504
"20685",541488
"20685",542422
"20685",537618
"20685",542891
"20685",537608
"20685",537755
"20685",574534
"20685",571846
"20685",581129
"20685",568241
"20685",573584
"20685",545707
"20685",549614
"20685",547108
"20685",576860
"20685",540471
"20685",567236
"20685",553368
"20685",556244
"20685",561039
"20685",544495
"20685",545188
"20685",539106
"20685",573173
"20685",581471
"20685",544970
"20685",554949
"20685",541279
"20685",554964
"20685",575674
"20685",569408
"20685",542932
"20685",540176
"20685",562722
"20685",558749
"20685",565230
"20685",555418
"20685",560364
"20685",556023
"20685",581410
"20685",579284
"20685",563691
"20685",538077
"20685",565117
"20685",565931
"20712",547796
"20712",556484
"20712",567307
"20712",555344
"20712",553933
"20712",572933
"20712",542904
"20712",568197
"20712",556042
"20712",560025
"20712",558696
"20712",552325
"20712",564167
"20712",545591
"20712",569110
"20712",571240
"20712",551729
"20712",575668
"20712",541698
"20712",571323
"20712",575919
"20712",563619
"20712",554648
"20712",541977
"20712",561473
"20712",567533
"20712",562450
"20712",574874
"20712",547649
"20712",550662
"20712",556189
"20712",559364
"20712",560211
"20712",554628
"20712",550408
"20712",557069
"20712",541854
"20712",570841
"20712",553576
"20712",558195
"20712",574680
"20712",568323
"20712",567794
"20712",540275
"20712",579393
"20712",546541
"20712",562568
"20712",551658
"20712",546899
"20712",561029
"20712",552013
"20712",556229
"20712",563017
"20712",562840
"20712",577951
"20712",578262
"20712",560716
"20712",560580
"20712",564246
"20712",540021
"20712",550957
"20712",553044
"20712",574547
"20712",537365
"20712",556903
"20712",550035
"20712",574056
"20712",542914
"20712",581113
"20712",550637
"20712",571235
"20712",572035
"20712",581167
"20712",554268
"20712",548011
"20712",552883
"20712",571706
"20712",569893
"20712",544112
"20712",548970
"20712",554939
"20712",554644
"20712",570116
"20712",562146
"20712",557276
"20712",540561
"20712",552333
"20712",561616
"20712",573002
"20712",559422
"20712",544573
"20712",579458
"20712",540350
"20712",577782
"20712",560845
"20712",571828
"20712",548735
"20712",559684
"20712",580727
"20712",564356
"20712",574684
"20712",577782
"20712",579461
"20712",549553
"20712",541138
"20712",539267
"20712",576245
"20712",571556
"20712",556529
"20712",563558
"20712",566567
"20712",545460
"20712",565388
"20712",563211
"20712",563155
"20712",573245
"20712",542002
"20712",543740
"20712",545988
"20712",547987
"20712",545721
"20712",564572
"20712",556890
"20712",564323
"20712",552821
"20712",555545
"20712",554552
"20712",580129
"20712",557956
"20712",537593
"20712",545035
"20712",538799
"20712",541134
"20712",537054
"20712",547518
"20712",544937
"20712",555091
"20712",554997
"20712",570797
"20712",553142
"20712",564328
"20712",560203
"20712",578018
"20712",561917
"20712",552811
"20712",568698
"20712",550178
"20712",563718
"20712",536527
"20712",558535
"20712",555583
"20712",560412
"20712",551983
"20712",551440
"20712",560712
"20712",568675
"20712",561295
"20712",537212
"20712",572856
"20712",544457
"20712",558876
"20712",547871
"20712",553663
"20712",552824
"20712",537955
"20712",551258
"20712",551982
"20712",563944
"20712",550015
"20712",542724
"20712",547538
"20712",580872
"20712",547106
"20712",545698
"20712",537262
"20712",555110
"20712",541518
"20712",577856
"20712",557956
"20712",541552
"20712",552574
"20712",544056
"20712",573576
"20712",567280
"20712",547052
"20712",555164
"20712",553682
"20712",564912
"20712",547722
"20712",562789
"20712",575584
"20712",555565
"20712",567472
"20712",565776
"20712",581168
"20712",544700
"20712",557636
"20712",545085
"20712",563543
"20712",566558
"20712",541794
"20712",540826
"20712",546189
"20712",541202
"20712",576629
"20712",548157
"20712",563912
"20712",555289
"20712",567656
"20712",577106
"20713",564356
"20713",537955
"20713",537405
"20713",567795
"20713",546622
"20713",543831
"20713",572885
"20713",558572
"20713",564167
"20713",557276
"20713",562680
"20713",578270
"20713",557958
"20713",569110
"20713",539267
"20713",581412
"20713",558262
"20713",541886
"20713",565967
"20713",541886
"20713",560716
"20713",569653
"20713",564379
"20713",546922
"20713",557615
"20713",580318
"20713",569839
"20713",557602
"20713",538849
"20713",564174
"20713",559322
"20713",542914
"20713",565458
"20713",546381
"20713",540021
"20713",563183
"20713",546380
"20713",556903
"20713",560244
"20713",564246
"20713",544686
"20713",580297
"20713",556192
"20713",546315
"20713",544480
"20713",565224
"20713",544293
"20713",542002
"20713",547871
"20713",566567
"20713",562914
"20713",556732
"20713",565388
"20713",547987
"20713",562840
"20713",537141
"20713",563837
"20713",541875
"20713",581167
"20713",580055
"20713",563956
"20713",561473
"20713",537614
"20713",537762
"20713",546189
"20713",557122
"20713",542085
"20713",566973
"20713",566481
"20713",567697
"20713",558921
"20713",566191
"20713",545035
"20713",563912
"20713",540640
"20713",541684
"20713",563543
"20713",541202
"20713",573322
"20713",575255
"20713",556245
"20713",545085
"20713",579432
"20713",580879
"20713",546789
"20713",560843
"20713",567472
"20713",542612
"20713",558643
"20713",544892
"20713",581400
"20713",540275
"20713",559364
"20713",537365
"20713",575706
"20713",544112
"20713",568323
"20713",574680
"20713",561085
"20713",580129
"20713",573287
"20713",569457
"20713",569900
"20713",561857
"20713",538866
"20713",538799
"20713",580654
"20713",576339
"20713",581225
"20713",576249
"20713",576249
"20713",562199
"20713",581579
"20713",542724
"20713",560211
"20713",564359
"20713",574684
"20713",545460
"20713",575607
"20713",537054
"20713",558752
"20713",563550
"20713",560718
"20713",567183
"20713",566717
"20713",544810
"20713",567165
"20713",544460
"20713",547903
"20713",563538
"20713",558696
"20713",580033
"20713",567656
"20713",546249
"20713",581122
"20713",581216
"20713",559120
"20713",567622
"20713",545447
"20713",559863
"20713",543740
"20713",565776
"20713",569027
"20713",568162
"20713",563558
"20713",579011
"20713",569740
"20713",567333
"20713",541293
"20713",562935
"20713",567785
"20713",580727
"20713",567635
"20713",546541
"20713",545591
"20713",546899
"20713",580595
"20713",567165
"20713",567165
"20713",568197
"20713",564965
"20713",562775
"20713",568668
"20713",544056
"20713",543977
"20713",541698
"20713",565738
"20713",567280
"20713",546986
"20713",538163
"20713",568156
"20713",546261
"20713",563944
"20713",566296
"20713",544457
"20713",562789
"20713",537864
"20713",546543
"20713",544672
"20713",564904
"20713",559158
"20713",561036
"20713",539570
"20713",540478
"20713",547106
"20713",543731
"20713",536527
"20713",547518
"20713",564323
"20713",562201
"20713",564311
"20713",546963
"20713",566329
"20713",566219
"20713",547100
"20713",564328
"20713",557485
"20713",545988
"20713",546112
"20713",566035
"20713",564729
"20713",564572
"20713",542153
"20713",539049
"20713",569330
"20713",562146
"20713",542780
"20713",543393
"20713",545979
"20713",565803
"20718",573269
"20718",553833
"20718",579559
"20718",555646
"20718",561867
"20718",549681
"20718",567898
"20718",575574
"20718",559907
"20718",557757
"20718",573138
"20718",547687
"20718",560566
"20718",579432
"20718",580872
"20718",554268
"20718",557805
"20718",544788
"20718",537593
"20718",573496
"20718",571556
"20718",580502
"20718",568703
"20718",563216
"20718",566171
"20718",545821
"20718",543828
"20718",547373
"20718",538641
"20718",541518
"20718",558643
"20718",553015
"20718",568517
"20718",553011
"20718",555344
"20718",551982
"20718",554695
"20718",541410
"20718",581175
"20718",553046
"20718",557897
"20718",578817
"20718",547108
"20718",555015
"20718",580311
"20718",580513
"20718",572294
"20718",567333
"20718",552013
"20718",572460
"20718",566962
"20718",540957
"20718",540021
"20718",542526
"20718",580956
"20718",571323
"20718",547987
"20718",541206
"20718",556184
"20718",560394
"20718",577106
"20718",581473
"20718",546963
"20718",553576
"20718",556021
"20718",580032
"20718",577545
"20718",564573
"20718",565458
"20718",571498
"20718",579447
"20718",579515
"20718",562381
"20718",541570
"20718",566566
"20718",565383
"20718",553206
"20718",575070
"20718",576657
"20718",549522
"20718",565329
"20718",540350
"20718",536782
"20718",561113
"20718",576339
"20718",552286
"20718",541216
"20718",562680
"20718",561006
"20718",555896
"20718",557954
"20718",563556
"20718",564733
"20718",580744
"20718",540531
"20718",581433
"20718",575607
"20718",575959
"20718",550130
"20718",550972
"20718",574056
"20718",547537
"20718",554059
"20718",580734
"20718",547656
"20718",568165
"20718",578270
"20718",580675
"20718",580500
"20718",577303
"20718",572552
"20718",546910
"20718",570088
"20718",537212
"20718",554999
"20718",558432
"20718",545591
"20718",569653
"20718",552239
"20718",560412
"20718",577549
"20718",541977
"20718",568662
"20718",573576
"20718",575063
"20718",550302
"20718",577258
"20718",575068
"20718",562791
"20718",567292
"20718",567718
"20718",562460
"20718",560601
"20718",565207
"20718",580879
"20718",580500
"20718",556106
"20718",579453
"20718",557263
"20718",578518
"20718",578518
"20718",540703
"20718",557795
"20718",552640
"20718",545188
"20718",547362
"20718",556721
"20718",538354
"20719",576890
"20719",558696
"20719",573511
"20719",577782
"20719",571441
"20719",568675
"20719",544811
"20719",540957
"20719",579131
"20719",563174
"20719",563944
"20719",564328
"20719",543121
"20719",566035
"20719",555553
"20719",553576
"20719",545988
"20719",542002
"20719",559068
"20719",548406
"20719",562710
"20719",555947
"20719",565920
"20719",546899
"20719",547567
"20719",547896
"20719",547100
"20719",561773
"20719",543400
"20719",557636
"20719",550408
"20719",577312
"20719",546920
"20719",545999
"20719",573326
"20719",542275
"20719",550178
"20719",540648
"20719",571846
"20719",558232
"20719",581034
"20719",556512
"20719",580536
"20719",569893
"20719",563017
"20719",558877
"20719",561029
"20719",579559
"20719",559095
"20719",554942
"20719",562102
"20719",545412
"20719",570088
"20719",545868
"20719",536783
"20719",577856
"20719",567280
"20719",567095
"20719",542143
"20719",538998
"20719",555565
"20719",546527
"20719",562035
"20719",547882
"20719",543900
"20719",561085
"20719",562444
"20719",575943
"20719",555110
"20719",549553
"20719",560504
"20719",558558
"20719",581401
"20719",578510
"20719",537429
"20719",581266
"20719",546540
"20719",549690
"20719",539247
"20719",536984
"20719",574328
"20719",548492
"20719",551258
"20719",542237
"20719",547537
"20719",544573
"20719",538167
"20719",571658
"20719",541575
"20719",557225
"20719",575607
"20719",558687
"20719",573078
"20719",560368
"20719",555815
"20719",568994
"20719",579516
"20719",551539
"20719",555545
"20719",580672
"20719",548497
"20719",575067
"20719",577549
"20719",554134
"20719",549932
"20719",557069
"20719",562779
"20719",571323
"20719",539049
"20719",541854
"20719",543828
"20719",555344
"20719",573361
"20719",541793
"20719",549014
"20719",552013
"20719",560244
"20719",553390
"20719",562450
"20719",566425
"20719",569383
"20719",575668
"20719",571129
"20719",565579
"20719",570224
"20719",572035
"20719",540350
"20719",577157
"20719",547987
"20719",540455
"20719",557628
"20719",550957
"20719",554827
"20719",557956
"20719",557956
"20719",548011
"20719",557956
"20719",564635
"20719",579196
"20719",545591
"20719",560025
"20719",542914
"20719",573002
"20719",548338
"20719",558700
"20719",554157
"20719",579673
"20719",539731
"20719",579673
"20719",578678
"20719",555562
"20719",563745
"20719",541518
"20719",552640
"20719",552010
"20719",575087
"20719",539587
"20719",581400
"20719",537648
"20719",546526
"20719",568882
"20719",559171
"20719",575706
"20719",559128
"20719",554160
"20719",572475
"20719",551658
"20719",578270
"20719",545288
"20719",558262
"20719",540275
"20719",544293
"20719",548969
"20719",559134
"20719",536784
"20719",561806
"20719",570442
"20719",544311
"20719",554268
"20719",554644
"20719",554658
"20719",545186
"20719",561857
"20719",544445
"20719",544672
"20719",576339
"20719",546580
"20719",563076
"20719",556189
"20719",570680
"20719",581180
"20719",581122
"20719",547419
"20719",563691
"20719",537212
"20719",562789
"20719",560368
"20719",575087
"20719",541206
"20719",544479
"20719",562568
"20719",550359
"20719",552735
"20719",563619
"20719",566290
"20719",557263
"20719",578262
"20719",562032
"20719",556111
"20719",558067
"20719",577552
"20719",541488
"20719",545080
"20719",551976
"20719",559028
"20719",538951
"20719",557006
"20719",551293
"20719",547796
"20719",562099
"20723",558232
"20723",578510
"20723",546899
"20723",579131
"20723",547019
"20723",566290
"20723",570442
"20723",568882
"20723",573078
"20723",536378
"20723",550130
"20723",538951
"20723",545290
"20723",570488
"20723",543900
"20723",556229
"20723",545080
"20723",545996
"20723",553011
"20723",554053
"20723",543400
"20723",551059
"20723",574328
"20723",539587
"20723",564635
"20723",549690
"20723",554157
"20723",546543
"20723",569568
"20723",544191
"20723",544672
"20723",558067
"20723",554658
"20723",559895
"20723",557772
"20723",557956
"20723",564059
"20723",562099
"20723",576339
"20723",551258
"20723",573326
"20723",557956
"20723",575607
"20723",569900
"20723",563619
"20723",547538
"20723",552262
"20723",558700
"20723",540021
"20723",555855
"20723",558687
"20723",554059
"20723",580872
"20723",552170
"20723",562890
"20723",560504
"20723",579196
"20723",545999
"20723",567656
"20723",545164
"20723",580727
"20723",555583
"20723",556263
"20723",570108
"20723",547537
"20723",550359
"20723",557514
"20723",547202
"20723",559028
"20723",559510
"20723",548497
"20723",547896
"20723",546305
"20723",554770
"20723",551539
"20723",555815
"20723",561808
"20723",547987
"20723",537648
"20723",572863
"20723",550408
"20723",542216
"20723",563691
"20723",543398
"20723",566296
"20723",559907
"20723",581122
"20723",558877
"20723",560892
"20723",555535
"20723",580672
"20723",561877
"20723",565207
"20723",562615
"20723",565920
"20723",538866
"20723",563538
"20723",550957
"20723",554672
"20723",547100
"20723",569409
"20723",577303
"20723",536643
"20723",553057
"20723",563165
"20723",561113
"20723",560601
"20723",571129
"20723",566190
"20723",577549
"20723",550462
"20723",575668
"20723",567372
"20723",560244
"20723",561075
"20723",538800
"20723",549014
"20723",555344
"20723",569383
"20723",543977
"20723",552025
"20723",546622
"20723",542519
"20723",556935
"20723",569246
"20723",544937
"20723",566334
"20723",562710
"20723",542152
"20723",573901
"20723",551440
"20723",560732
"20723",557957
"20723",561806
"20723",551182
"20723",545988
"20723",542002
"20723",572552
"20723",537054
"20723",548178
"20723",548011
"20723",543393
"20723",566035
"20723",577050
"20723",580982
"20723",564174
"20723",562680
"20723",576381
"20723",554839
"20723",559057
"20723",577782
"20723",563944
"20723",562102
"20723",580160
"20723",543487
"20723",563745
"20723",554939
"20723",545979
"20723",551696
"20723",559095
"20723",578678
"20723",573361
"20723",570514
"20723",561894
"20723",537864
"20723",563174
"20723",558696
"20723",563621
"20723",558262
"20723",563211
"20723",545030
"20723",578270
"20723",546922
"20723",562448
"20723",571441
"20723",559011
"20723",545186
"20723",548728
"20723",568675
"20723",553093
"20723",562789
"20723",550006
"20723",549667
"20723",557144
"20723",563076
"20723",560368
"20723",547209
"20723",574684
"20723",570088
"20723",549192
"20723",561897
"20723",545591
"20723",547713
"20723",552532
"20723",552039
"20723",578262
"20723",563017
"20723",551293
"20723",576890
"20723",558232
"20723",555565
"20723",553151
"20723",567341
"20723",558073
"20723",573576
"20724",545999
"20724",541518
"20724",555815
"20724",565207
"20724",551983
"20724",579673
"20724",555164
"20724",562615
"20724",554157
"20724",565413
"20724",565766
"20724",568994
"20724",547538
"20724",548338
"20724",553011
"20724",545164
"20724",578262
"20724",579516
"20724",551539
"20724",557956
"20724",545105
"20724",547722
"20724",557956
"20724",554770
"20724",543398
"20724",579442
"20724",560601
"20724",580872
"20724",548497
"20724",537762
"20724",562381
"20724",571555
"20724",575067
"20724",544480
"20724",568688
"20724",573276
"20724",555015
"20724",575745
"20724",546315
"20724",550130
"20724",573264
"20724",555535
"20724",562890
"20724",559895
"20724",577549
"20724",564322
"20724",565643
"20724",555560
"20724",561113
"20724",552532
"20724",568165
"20724",562035
"20724",568782
"20724",554134
"20724",566085
"20724",577303
"20724",554520
"20724",569893
"20724",566190
"20724",566275
"20724",571286
"20724",581401
"20724",577552
"20724",546543
"20724",565579
"20724",550130
"20724",558067
"20724",559422
"20724",572035
"20724",541120
"20724",574068
"20724",566290
"20724",570841
"20724",550462
"20724",567372
"20724",538641
"20724",546622
"20724",561295
"20724",557772
"20724",544937
"20724",547987
"20724",579673
"20724",557625
"20724",566425
"20724",560244
"20724",574720
"20724",569528
"20724",537674
"20724",581034
"20724",552013
"20724",567378
"20724",552450
"20724",561075
"20724",541279
"20724",569383
"20724",575668
"20724",545186
"20724",549014
"20724",580727
"20724",573078
"20724",571323
"20724",566600
"20724",555855
"20724",562460
"20724",554108
"20724",552170
"20724",562444
"20724",543828
"20724",566962
"20724",563619
"20724",570818
"20724",550712
"20724",578140
"20724",571498
