SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.8,3.0,1.4,0.1,setosa
5.349,3.167,1.467,0.108,setosa
6.9,3.2,5.7,2.3,virginica
5.949,2.82,3.909,1.264,versicolor
5.917,2.698,5.98,2.136,virginica
5.981,3.106,4.55,1.54,versicolor
4.937,3.69,1.498,0.248,setosa
7.366,3.179,4.961,1.523,virginica
6.108,2.701,4.091,1.427,versicolor
5.36,3.545,1.245,0.262,setosa
6.199,2.813,4.441,1.237,versicolor
4.804,3.037,1.627,0.376,setosa
7.119,2.907,5.077,1.878,virginica
5.4,3.9,1.3,0.4,setosa
5.948,2.721,4.305,1.35,versicolor
4.835,3.537,1.409,0.235,setosa
7.223,2.891,5.465,2.083,virginica
5.606,2.769,4.338,1.375,versicolor
5.7,2.6,3.5,1.0,versicolor
6.638,3.27,5.433,2.188,virginica
5.978,2.856,4.332,1.315,versicolor
6.293,2.971,5.471,2.007,virginica
6.252,3.15,4.749,1.142,versicolor
5.6,2.5,3.9,1.1,versicolor
6.505,3.566,5.936,1.555,virginica
4.924,3.158,1.247,0.274,setosa
6.291,2.475,3.83,1.399,versicolor
5.077,3.454,1.486,0.304,setosa
5.782,2.574,3.999,1.406,versicolor
6.531,2.705,5.58,1.873,virginica
6.647,3.005,5.563,2.06,virginica
6.912,2.829,6.011,2.156,virginica
7.379,2.673,5.229,2.339,virginica
6.044,2.872,4.397,1.422,versicolor
4.975,3.432,1.47,0.242,setosa
5.142,3.556,1.529,0.272,setosa
4.4,3.2,1.3,0.2,setosa
5.15,3.173,1.512,0.202,setosa
5.707,2.692,4.073,1.277,versicolor
4.87,3.258,1.56,0.186,setosa
5.836,3.099,4.063,1.294,versicolor
4.979,3.435,1.483,0.25,setosa
5.841,2.804,4.116,1.352,versicolor
4.962,3.958,1.195,0.312,setosa
4.8,3.0,1.4,0.3,setosa
5.844,2.802,4.389,1.288,versicolor
6.9,3.1,5.1,2.3,virginica
6.304,3.605,5.239,2.135,virginica
5.051,3.446,1.33,0.115,setosa
4.695,4.124,1.344,0.199,setosa
6.328,2.771,3.727,1.367,versicolor
6.697,2.948,5.552,1.876,virginica
5.228,3.439,1.313,0.275,setosa
6.784,2.662,4.357,1.486,versicolor
7.7,2.6,6.9,2.3,virginica
5.7,2.5,5.0,2.0,virginica
5.624,2.832,3.569,1.471,versicolor
5.9,2.765,4.32,1.344,versicolor
6.0,2.2,4.0,1.0,versicolor
5.0,3.4,1.6,0.4,setosa
4.955,3.576,1.491,0.276,setosa
6.956,2.627,5.982,1.957,virginica
5.342,3.288,1.324,0.112,setosa
6.593,2.991,5.542,2.012,virginica
7.482,2.332,6.051,2.182,virginica
6.146,2.75,5.61,1.923,virginica
6.322,3.069,5.055,1.116,versicolor
5.119,3.182,1.395,0.168,setosa
5.5,4.2,1.4,0.2,setosa
4.8,3.4,1.9,0.2,setosa
5.028,3.412,1.461,0.247,setosa
6.499,2.72,5.284,2.085,virginica
6.544,2.956,5.6,2.026,virginica
6.64,3.037,5.47,2.067,virginica
5.248,3.258,1.503,0.319,setosa
6.23,2.826,5.6,1.928,virginica
5.304,3.616,1.342,0.28,setosa
6.405,2.859,5.551,2.103,virginica
6.5,3.0,5.2,2.0,virginica
5.986,2.805,4.281,1.305,versicolor
5.589,2.389,4.512,1.547,versicolor
5.576,2.633,4.463,1.374,versicolor
5.034,3.257,1.492,0.255,setosa
6.938,2.674,5.982,2.267,virginica
5.634,2.625,3.963,1.247,versicolor
5.183,3.12,3.677,1.434,versicolor
6.396,3.328,5.837,1.982,virginica
6.525,3.02,4.606,1.334,versicolor
4.9,2.5,4.5,1.7,virginica
6.056,2.851,4.196,1.329,versicolor
5.817,2.907,4.055,1.509,versicolor
6.529,2.146,4.625,1.122,versicolor
5.1,2.5,3.0,1.1,versicolor
6.524,2.945,5.604,2.039,virginica
6.691,3.004,5.564,1.966,virginica
5.724,2.98,3.884,1.32,versicolor
6.149,3.255,5.523,1.959,virginica
6.1,3.0,4.6,1.4,versicolor
6.585,3.019,5.968,2.05,virginica
4.713,3.353,1.497,0.347,setosa
6.661,3.447,5.459,1.787,virginica
5.5,2.6,4.4,1.2,versicolor
5.362,3.106,1.145,0.312,setosa
5.754,3.422,5.522,1.712,virginica
5.22,2.584,1.369,0.245,setosa
5.347,2.805,4.547,1.337,versicolor
7.231,3.304,5.559,1.836,virginica
6.635,2.971,5.52,2.01,virginica
4.726,3.532,1.418,0.296,setosa
6.7,3.1,4.7,1.5,versicolor
5.98,2.595,4.624,1.46,versicolor
4.988,3.787,1.489,0.172,setosa
5.062,3.456,1.644,0.278,setosa
4.523,2.986,1.626,0.339,setosa
5.069,3.685,1.338,0.187,setosa
4.964,3.186,1.389,0.197,setosa
5.417,2.558,4.202,1.113,versicolor
5.823,2.634,4.383,1.469,versicolor
6.567,2.998,5.568,2.037,virginica
5.48,2.692,3.817,1.249,versicolor
4.572,3.061,1.142,0.128,setosa
5.7,3.0,4.2,1.2,versicolor
5.922,2.792,4.322,1.371,versicolor
4.824,3.944,1.7,0.236,setosa
6.8,3.2,5.9,2.3,virginica
6.559,2.797,4.387,1.692,versicolor
5.0,2.3,3.3,1.0,versicolor
5.532,4.269,1.077,0.033,setosa
5.065,3.59,1.443,0.161,setosa
5.496,2.985,5.328,1.962,virginica
6.414,2.938,5.758,2.109,virginica
6.599,2.948,5.504,2.04,virginica
5.475,3.944,1.478,0.438,setosa
6.093,2.767,3.674,1.153,versicolor
5.028,3.196,1.479,0.31,setosa
6.608,3.036,5.77,2.077,virginica
5.1,3.8,1.6,0.2,setosa
5.967,2.793,4.279,1.33,versicolor
5.697,3.044,4.19,1.412,versicolor
6.601,3.554,5.178,2.189,virginica
7.093,2.912,5.723,2.445,virginica
7.037,2.902,5.415,2.174,virginica
5.834,2.827,4.42,1.339,versicolor
6.393,3.114,5.643,2.044,virginica
6.579,3.275,5.402,2.005,virginica
7.151,3.262,5.659,1.922,virginica
5.03,3.489,1.46,0.266,setosa
6.788,2.394,5.75,2.291,virginica
5.6,2.8,4.9,2.0,virginica
6.389,3.138,3.483,1.55,versicolor
4.609,3.331,1.488,0.101,setosa
6.617,2.646,4.817,1.525,versicolor
7.048,3.235,5.203,2.056,virginica
6.801,2.424,5.859,2.477,virginica
6.118,2.524,4.214,1.374,versicolor
6.121,2.887,4.32,1.304,versicolor
6.359,3.257,3.535,1.48,versicolor
4.9,3.1,1.5,0.1,setosa
4.819,2.985,1.516,0.157,setosa
6.536,3.08,5.505,1.947,virginica
4.743,3.907,1.343,0.177,setosa
6.21,2.625,4.395,1.329,versicolor
4.995,3.104,1.341,0.401,setosa
6.446,2.92,5.471,2.056,virginica
5.371,3.046,4.17,1.415,versicolor
6.3,2.5,5.0,1.9,virginica
5.939,3.044,5.282,2.203,virginica
6.779,3.033,5.661,2.337,virginica
4.341,4.074,1.248,0.231,setosa
5.025,3.558,1.451,0.192,setosa
5.109,3.67,1.255,0.201,setosa
4.955,3.597,1.331,0.11,setosa
7.2,3.2,6.0,1.8,virginica
5.7,4.4,1.5,0.4,setosa
6.575,2.95,5.522,2.068,virginica
7.369,3.458,6.126,2.347,virginica
6.102,2.17,5.101,0.968,versicolor
5.01,3.371,1.482,0.249,setosa
5.701,2.952,4.399,1.451,versicolor
5.796,2.712,4.373,1.353,versicolor
5.017,3.332,1.409,0.185,setosa
5.943,2.743,4.243,1.316,versicolor
4.966,3.49,1.457,0.251,setosa
6.366,3.475,5.705,1.917,virginica
5.601,2.911,4.457,1.516,versicolor
4.75,3.58,1.513,0.154,setosa
7.335,3.004,5.581,1.849,virginica
4.806,3.688,1.66,0.308,setosa
5.855,2.835,4.39,1.298,versicolor
6.474,2.58,4.92,1.442,versicolor
6.048,2.882,4.402,1.298,versicolor
7.0,3.2,4.7,1.4,versicolor
4.68,2.722,1.438,0.082,setosa
6.207,2.944,5.43,2.173,virginica
5.819,2.679,4.312,1.327,versicolor
4.966,3.435,1.464,0.255,setosa
5.414,2.647,4.135,1.159,versicolor
5.552,3.244,4.686,1.445,versicolor
4.825,2.802,1.344,0.147,setosa
5.273,3.933,1.317,0.3,setosa
5.945,2.783,4.292,1.389,versicolor
5.922,2.835,4.333,1.323,versicolor
6.529,2.974,5.499,2.072,virginica
6.69,2.65,3.896,1.506,versicolor
6.628,2.977,5.572,2.036,virginica
5.664,3.057,4.119,1.344,versicolor
5.86,2.81,4.112,1.316,versicolor
5.117,3.599,1.691,0.37,setosa
6.229,2.997,5.117,2.203,virginica
5.001,3.439,1.46,0.247,setosa
6.721,3.016,5.601,2.007,virginica
4.381,2.596,1.15,0.403,setosa
5.0,3.2,1.2,0.2,setosa
4.671,3.169,1.739,0.18,setosa
7.215,3.321,5.639,2.308,virginica
5.685,2.657,4.017,1.489,versicolor
5.6,2.7,4.2,1.3,versicolor
6.915,3.037,5.386,1.966,virginica
6.854,3.212,5.815,1.874,virginica
4.4,3.0,1.3,0.2,setosa
5.387,2.843,3.601,1.07,versicolor
5.071,3.346,1.479,0.26,setosa
6.062,2.71,4.267,1.305,versicolor
5.991,2.756,4.202,1.344,versicolor
7.219,2.873,5.731,1.931,virginica
6.031,2.832,5.46,1.882,virginica
4.592,3.361,1.514,0.142,setosa
4.973,3.314,1.526,0.296,setosa
4.3,3.0,1.1,0.1,setosa
5.995,2.794,4.069,1.368,versicolor
7.7,3.0,6.1,2.3,virginica
4.989,3.562,1.558,0.187,setosa
5.148,3.199,1.276,0.337,setosa
6.003,2.845,4.322,1.421,versicolor
5.643,2.629,5.191,1.845,virginica
5.73,2.571,4.452,1.44,versicolor
6.288,3.135,5.447,2.139,virginica
5.853,2.951,4.551,1.469,versicolor
6.838,2.841,5.664,2.108,virginica
6.571,3.323,3.499,1.142,versicolor
7.693,3.061,5.467,1.934,virginica
5.449,2.24,3.825,1.446,versicolor
6.2,2.2,4.5,1.5,versicolor
6.7,3.3,5.7,2.5,virginica
6.1,2.6,5.6,1.4,virginica
5.325,3.392,1.349,0.156,setosa
6.0,3.4,4.5,1.6,versicolor
5.885,2.518,4.201,1.194,versicolor
5.146,3.797,1.116,0.181,setosa
5.342,2.957,1.578,0.142,setosa
4.996,3.414,1.524,0.243,setosa
6.576,2.65,4.403,1.187,versicolor
5.32,3.378,6.27,1.63,virginica
5.3,3.7,1.5,0.2,setosa
7.362,3.166,5.457,2.271,virginica
6.342,2.778,5.776,2.175,virginica
5.1,3.8,1.9,0.4,setosa
5.025,3.554,1.425,0.133,setosa
6.81,3.192,5.124,2.235,virginica
5.498,3.097,3.984,1.35,versicolor
6.264,3.018,5.61,2.1,virginica
5.825,2.865,5.328,1.982,virginica
6.209,2.542,4.333,1.177,versicolor
4.559,3.253,1.694,0.172,setosa
6.063,2.717,5.443,2.146,virginica
4.585,3.633,1.176,0.345,setosa
5.361,3.245,4.19,1.105,versicolor
5.034,3.427,1.474,0.246,setosa
5.091,2.889,1.601,0.044,setosa
5.785,2.73,4.166,1.192,versicolor
6.023,2.697,4.502,1.276,versicolor
6.7,3.1,5.6,2.4,virginica
6.554,3.033,5.597,2.064,virginica
4.843,3.047,1.572,0.196,setosa
6.284,2.547,4.26,1.209,versicolor
4.936,2.862,1.427,0.109,setosa
5.276,3.502,1.586,0.25,setosa
6.073,2.799,5.407,2.149,virginica
4.6,3.4,1.4,0.3,setosa
4.597,3.036,1.282,0.187,setosa
4.918,3.647,1.288,0.212,setosa
4.934,3.265,1.395,0.217,setosa
6.039,2.898,4.395,1.355,versicolor
5.91,2.959,4.065,1.447,versicolor
6.911,2.882,5.71,2.043,virginica
5.687,2.445,4.386,1.39,versicolor
5.923,2.96,4.353,1.28,versicolor
6.181,2.737,3.901,1.47,versicolor
5.902,2.807,4.127,1.388,versicolor
6.7,2.909,5.508,2.042,virginica
6.839,2.602,5.465,2.09,virginica
5.979,2.825,4.146,1.247,versicolor
6.953,2.866,5.504,1.816,virginica
6.026,2.466,5.203,2.501,virginica
6.148,2.855,5.733,2.015,virginica
6.047,2.819,5.409,1.919,virginica
5.7,2.8,4.1,1.3,versicolor
5.2,3.5,1.5,0.2,setosa
7.3,2.9,6.3,1.8,virginica
5.795,2.838,4.448,1.367,versicolor
5.178,4.164,1.583,0.366,setosa
5.743,2.429,5.467,2.072,virginica
5.8,2.8,5.1,2.4,virginica
5.449,3.65,1.28,0.161,setosa
5.04,3.445,1.477,0.277,setosa
6.251,3.099,3.966,1.059,versicolor
5.124,3.133,1.428,0.212,setosa
6.0,2.2,5.0,1.5,virginica
5.043,3.356,1.562,0.315,setosa
5.639,3.42,3.913,0.999,versicolor
6.301,2.74,5.465,2.111,virginica
6.75,2.994,5.467,2.04,virginica
6.794,2.83,5.664,1.968,virginica
6.08,2.847,3.553,1.316,versicolor
5.047,3.499,1.432,0.236,setosa
5.0,3.673,1.354,0.194,setosa
6.124,2.605,4.147,1.391,versicolor
6.785,2.763,5.241,2.169,virginica
5.533,2.929,4.421,1.398,versicolor
4.994,3.483,1.441,0.21,setosa
5.4,3.9,1.7,0.4,setosa
5.005,3.235,1.234,0.256,setosa
6.13,2.749,3.95,1.236,versicolor
6.324,2.882,4.525,1.313,versicolor
5.888,2.742,4.055,1.221,versicolor
5.12,3.252,1.372,0.162,setosa
6.703,2.534,5.122,2.068,virginica
5.867,2.912,5.866,1.909,virginica
5.998,2.74,4.2,1.347,versicolor
7.6,3.0,6.6,2.1,virginica
6.4,2.8,5.6,2.2,virginica
5.931,2.815,4.233,1.364,versicolor
5.6,3.0,4.1,1.3,versicolor
5.7,3.8,1.7,0.3,setosa
5.016,3.411,1.452,0.255,virginica
6.532,2.98,5.528,2.004,virginica
5.509,2.845,3.875,1.436,versicolor
5.098,3.751,1.453,0.192,setosa
6.7,3.3,5.7,2.1,virginica
6.584,2.954,5.518,2.036,virginica
5.128,3.051,1.368,0.288,setosa
6.001,2.678,3.996,1.301,versicolor
6.024,2.773,4.149,1.284,versicolor
5.119,3.524,1.391,0.199,setosa
6.243,2.798,3.917,1.259,versicolor
5.152,2.984,4.398,1.204,versicolor
6.987,3.262,5.346,1.818,virginica
5.249,3.037,1.22,0.026,setosa
4.7,3.2,1.6,0.2,setosa
5.757,2.951,4.538,1.25,versicolor
5.972,2.877,5.303,1.958,virginica
6.6,2.9,4.6,1.3,versicolor
6.552,2.888,5.558,2.05,virginica
6.158,2.689,4.164,1.302,versicolor
6.991,3.078,5.408,1.959,virginica
6.579,2.823,5.63,2.0,virginica
6.016,2.801,4.47,1.363,versicolor
5.699,2.5,4.236,1.329,versicolor
5.1,3.4,1.5,0.2,setosa
5.759,2.936,4.462,1.461,versicolor
5.8,2.6,4.0,1.2,versicolor
6.651,2.952,5.541,2.041,virginica
4.76,3.966,1.71,0.325,setosa
5.359,2.34,4.805,1.336,versicolor
5.075,3.442,1.433,0.243,setosa
6.0,2.9,4.5,1.5,versicolor
4.673,3.325,1.495,0.29,setosa
4.851,3.588,1.353,0.137,setosa
6.332,3.286,5.139,1.873,virginica
6.857,3.014,5.667,2.008,virginica
5.2,3.4,1.4,0.2,setosa
6.818,3.129,5.597,2.033,virginica
5.8,2.7,5.1,1.9,virginica
5.0,3.3,1.4,0.2,setosa
6.455,3.147,4.314,1.225,versicolor
4.57,2.709,1.283,0.285,setosa
5.07,3.294,1.403,0.264,setosa
6.091,2.983,4.504,1.451,versicolor
6.097,3.515,5.642,1.856,virginica
6.095,2.769,4.189,1.304,versicolor
5.908,2.824,4.415,1.28,versicolor
6.23,3.02,5.604,1.786,virginica
5.105,3.237,1.418,0.215,setosa
4.903,3.696,1.471,0.216,setosa
6.431,2.848,5.037,2.424,virginica
6.164,2.543,5.896,2.014,virginica
5.594,3.347,6.009,2.176,virginica
6.134,3.469,5.112,1.948,virginica
6.142,2.395,4.301,1.363,versicolor
5.152,3.768,1.376,0.196,setosa
5.912,3.03,4.012,1.411,versicolor
5.887,2.777,4.276,1.331,versicolor
4.763,4.154,1.274,0.175,setosa
5.9,3.0,5.1,1.8,virginica
4.891,3.354,1.563,0.384,setosa
6.564,3.041,5.561,2.063,virginica
5.8,2.7,4.1,1.0,versicolor
6.028,3.001,4.142,1.443,versicolor
4.924,3.625,1.463,0.207,setosa
6.224,3.016,5.421,2.077,virginica
6.045,2.993,4.219,1.288,versicolor
5.9,3.0,4.2,1.5,versicolor
5.216,3.792,1.351,0.309,setosa
4.91,3.316,1.433,0.252,setosa
5.031,3.235,1.174,0.321,setosa
5.979,2.794,4.205,1.307,versicolor
6.031,2.733,4.191,1.326,versicolor
6.1,3.0,4.9,1.8,virginica
6.1,2.9,4.7,1.4,versicolor
5.0,3.6,1.4,0.2,setosa
5.991,2.303,4.711,1.466,versicolor
7.13,3.272,5.376,1.922,virginica
5.21,3.608,1.49,0.128,setosa
5.847,2.73,4.183,1.321,versicolor
5.881,2.925,3.768,1.468,versicolor
6.4,2.8,5.6,2.1,virginica
5.414,3.072,3.979,1.084,versicolor
4.655,3.43,1.148,0.319,setosa
5.096,3.564,1.53,0.223,setosa
6.7,3.0,5.2,2.3,virginica
5.798,2.952,4.101,1.226,versicolor
5.316,3.618,1.276,0.367,setosa
4.97,3.324,1.588,0.292,setosa
6.754,3.117,5.624,2.035,virginica
5.378,3.984,1.338,0.383,setosa
6.426,3.35,5.166,1.979,virginica
6.203,3.011,4.572,1.355,versicolor
5.787,2.953,4.248,1.422,versicolor
6.7,2.5,5.8,1.8,virginica
6.007,2.668,4.53,1.094,versicolor
6.35,2.851,5.2,2.126,virginica
5.116,4.258,1.864,0.209,setosa
4.537,4.037,1.582,0.134,setosa
4.48,3.499,1.612,0.189,setosa
5.741,2.64,4.558,1.384,versicolor
5.018,3.639,1.373,0.231,setosa
5.96,2.652,4.526,1.348,versicolor
5.939,2.795,4.243,1.339,versicolor
4.76,3.445,1.699,0.466,setosa
6.9,3.1,5.4,2.1,virginica
5.076,3.161,1.389,0.264,setosa
5.89,2.802,4.248,1.319,versicolor
6.1,2.8,4.7,1.2,versicolor
5.046,4.062,1.338,0.214,setosa
6.135,2.921,4.016,1.243,versicolor
5.741,3.549,5.416,1.721,virginica
4.984,3.34,1.477,0.189,setosa
5.39,3.233,1.66,0.17,setosa
5.89,2.648,4.237,1.324,versicolor
4.767,3.161,1.419,0.325,setosa
6.4,3.2,5.3,2.3,virginica
4.805,4.096,1.355,0.157,setosa
5.203,3.297,1.321,0.133,setosa
4.839,3.076,1.505,0.204,setosa
5.322,3.443,1.259,0.281,setosa
4.581,3.239,1.566,0.319,setosa
5.91,2.672,5.745,2.193,virginica
5.031,3.415,1.445,0.251,setosa
4.831,3.335,1.525,0.252,setosa
5.796,2.631,4.407,1.644,versicolor
5.215,3.715,1.601,0.207,setosa
4.99,3.512,1.44,0.253,setosa
5.952,2.386,3.959,1.102,versicolor
6.323,2.959,5.546,2.08,virginica
7.52,3.215,5.371,1.727,virginica
7.083,3.132,5.889,2.113,virginica
6.191,2.71,4.603,1.516,versicolor
5.117,3.315,1.41,0.219,setosa
5.8,2.7,5.1,1.9,virginica
5.829,3.176,5.529,1.807,virginica
5.376,2.921,3.554,1.274,versicolor
5.338,3.396,1.784,0.165,setosa
4.833,2.958,1.54,0.261,setosa
5.4,3.4,1.7,0.2,setosa
6.404,2.919,5.609,2.106,virginica
5.23,2.672,1.3,0.306,setosa
4.809,3.221,1.541,0.351,setosa
4.657,3.134,1.309,0.311,setosa
7.1,2.757,5.362,2.106,virginica
4.6,3.2,1.4,0.2,setosa
6.49,3.067,5.708,2.077,virginica
5.378,3.338,1.173,0.395,setosa
5.074,3.36,1.41,0.224,setosa
4.873,3.235,1.298,0.232,setosa
4.864,3.126,1.677,0.139,setosa
6.365,2.739,4.598,1.481,versicolor
5.032,3.385,1.444,0.234,setosa
5.473,2.699,4.343,1.499,versicolor
5.818,2.858,4.327,1.283,versicolor
4.8,3.4,1.6,0.2,setosa
6.526,2.956,5.408,2.119,virginica
6.325,2.254,5.844,1.949,virginica
6.2,2.8,4.8,1.8,virginica
5.296,2.876,1.638,0.412,setosa
4.899,3.684,1.477,0.318,setosa
5.18,3.437,1.577,0.259,setosa
7.08,3.123,5.355,2.071,virginica
4.944,3.169,1.171,0.148,setosa
6.267,2.857,5.531,2.357,virginica
4.549,3.088,1.28,0.065,setosa
5.5,2.5,4.0,1.3,versicolor
5.766,2.86,3.868,1.278,versicolor
6.543,3.055,5.731,1.923,virginica
6.454,3.011,5.547,1.994,virginica
4.673,3.874,1.352,0.144,setosa
6.2,3.4,5.4,2.3,virginica
5.105,3.68,1.337,0.183,setosa
6.515,2.997,5.588,2.035,virginica
7.158,2.684,5.424,1.825,virginica
6.662,2.99,5.532,1.978,virginica
6.06,2.822,4.564,1.331,versicolor
5.4,3.0,4.5,1.5,versicolor
6.605,3.298,5.318,2.228,virginica
6.206,2.331,4.139,1.435,versicolor
6.23,3.063,4.686,1.246,versicolor
6.791,3.011,5.622,2.09,virginica
5.465,2.866,1.522,0.299,setosa
4.619,3.264,1.654,0.178,setosa
6.4,2.9,4.3,1.3,versicolor
5.941,2.802,4.242,1.326,versicolor
5.382,2.941,5.875,1.666,virginica
5.0,3.4,1.5,0.2,setosa
5.611,2.96,3.925,1.287,versicolor
6.751,3.356,4.182,1.507,versicolor
5.148,3.435,1.51,0.22,setosa
7.73,3.343,5.358,1.915,virginica
6.996,2.996,5.215,2.389,virginica
4.963,3.35,1.565,0.242,setosa
4.4,2.9,1.4,0.2,setosa
5.924,3.091,4.823,1.286,versicolor
6.786,2.609,5.331,1.998,virginica
6.783,3.169,5.819,1.839,virginica
6.483,2.984,5.592,1.954,virginica
6.31,3.147,5.663,2.001,virginica
5.596,3.206,5.149,2.313,virginica
4.847,3.399,1.484,0.257,setosa
6.256,2.762,4.165,1.287,versicolor
7.9,3.8,6.4,2.0,virginica
