Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
78,5.9150 ,2.5250 ,4.2120 ,1.5100 ,versicolor
79,5.0390 ,3.4590 ,1.4300 ,0.2470 ,setosa
80,6.8590 ,3.2640 ,5.7200 ,2.1430 ,virginica
81,6.1390 ,2.4920 ,4.1320 ,1.2790 ,versicolor
82,6.0000 ,3.0000 ,4.8000 ,1.8000 ,virginica
83,4.7960 ,3.3720 ,1.2200 ,0.2410 ,setosa
84,6.0890 ,2.6170 ,3.9240 ,1.3470 ,versicolor
85,6.5370 ,3.3110 ,5.8130 ,1.9390 ,virginica
86,5.5770 ,2.6780 ,4.6230 ,1.3840 ,versicolor
87,6.2700 ,2.8350 ,5.1250 ,1.7780 ,virginica
88,6.1060 ,3.5010 ,5.9590 ,1.8460 ,virginica
89,5.9690 ,2.6320 ,4.1530 ,1.3480 ,versicolor
90,4.8210 ,3.6060 ,1.5730 ,0.1910 ,setosa
91,6.7190 ,3.0700 ,5.5310 ,2.0190 ,virginica
92,6.0050 ,2.6290 ,4.3310 ,1.2300 ,versicolor
93,4.6000 ,3.6000 ,1.0000 ,0.2000 ,setosa
94,5.8850 ,2.7260 ,4.3160 ,1.3580 ,versicolor
95,6.5500 ,2.9580 ,5.5320 ,2.0500 ,virginica
96,4.7020 ,3.1900 ,1.2490 ,0.3300 ,setosa
97,5.8470 ,2.7890 ,4.3370 ,1.3120 ,versicolor
98,7.1460 ,2.9950 ,5.7440 ,2.3090 ,virginica
99,7.2740 ,3.2310 ,4.9750 ,1.5340 ,virginica
100,4.8690 ,2.8240 ,1.6740 ,0.4540 ,setosa
101,4.9860 ,3.4140 ,1.4480 ,0.2470 ,setosa
102,6.8690 ,3.0410 ,5.4810 ,2.1830 ,virginica
103,5.5680 ,2.8800 ,3.7390 ,1.1790 ,versicolor
104,6.7050 ,2.8760 ,5.3220 ,2.0860 ,virginica
105,5.0000 ,3.4130 ,1.4590 ,0.2510 ,setosa
106,4.9590 ,3.3340 ,1.4730 ,0.3290 ,setosa
107,5.1090 ,3.2800 ,1.4590 ,0.2080 ,setosa
108,5.5660 ,3.2080 ,4.6700 ,1.1770 ,versicolor
109,4.6450 ,4.0220 ,1.3360 ,0.1070 ,setosa
110,6.7540 ,3.0030 ,5.5930 ,1.9430 ,virginica
111,4.9840 ,3.4520 ,1.4740 ,0.2410 ,setosa
112,5.3660 ,3.2540 ,3.9390 ,1.4960 ,versicolor
113,5.0220 ,3.3280 ,1.4710 ,0.2260 ,setosa
114,6.1820 ,3.2160 ,5.6360 ,1.9920 ,virginica
115,6.3930 ,3.0390 ,5.5330 ,2.0270 ,virginica
116,6.0000 ,2.7000 ,5.1000 ,1.6000 ,versicolor
117,6.2170 ,2.4860 ,3.6040 ,1.2870 ,versicolor
118,6.8750 ,2.8190 ,5.6000 ,2.0040 ,virginica
119,6.7440 ,2.3620 ,4.6120 ,1.5670 ,versicolor
120,6.7770 ,2.8970 ,5.4960 ,1.9650 ,virginica
121,7.2640 ,2.7010 ,5.7980 ,2.0270 ,virginica
122,6.9830 ,2.7330 ,5.5740 ,1.9190 ,virginica
123,6.4610 ,3.0070 ,5.4530 ,1.9020 ,virginica
124,5.0060 ,3.3660 ,1.4510 ,0.2360 ,setosa
125,5.9500 ,2.7750 ,4.3540 ,1.2930 ,versicolor
126,6.8000 ,2.8000 ,4.8000 ,1.4000 ,versicolor
127,5.1730 ,3.2800 ,1.3410 ,0.3720 ,setosa
128,5.2660 ,3.0570 ,1.5080 ,0.2200 ,setosa
129,6.4770 ,3.2820 ,5.8540 ,1.9640 ,virginica
130,5.9540 ,2.7890 ,4.2690 ,1.3330 ,versicolor
131,6.2010 ,2.9510 ,4.4840 ,1.5250 ,versicolor
132,6.4830 ,2.9810 ,5.6360 ,2.0080 ,virginica
133,6.9000 ,3.1000 ,4.9000 ,1.5000 ,versicolor
134,6.6150 ,2.9610 ,5.5290 ,2.0210 ,virginica
135,5.3540 ,3.4350 ,1.2830 ,0.2730 ,setosa
136,6.3390 ,2.9970 ,5.6630 ,2.0120 ,virginica
137,7.1540 ,2.7130 ,5.2970 ,1.9270 ,virginica
138,6.7000 ,3.1000 ,4.4000 ,1.4000 ,versicolor
139,5.9710 ,2.7440 ,4.3130 ,1.3860 ,versicolor
140,6.4230 ,2.9800 ,5.4820 ,2.0540 ,virginica
141,5.2480 ,3.4600 ,1.2750 ,0.2650 ,setosa
142,5.4430 ,2.5490 ,4.9370 ,1.3500 ,versicolor
143,7.1140 ,3.4190 ,5.7630 ,1.7100 ,virginica
144,4.8840 ,3.1040 ,1.4080 ,0.2600 ,setosa
145,5.8700 ,2.8320 ,3.6160 ,1.4660 ,versicolor
146,6.4080 ,3.0720 ,5.6620 ,2.0220 ,virginica
147,4.8000 ,3.0000 ,1.4000 ,0.1000 ,setosa
148,5.3490 ,3.1670 ,1.4670 ,0.1080 ,setosa
149,6.9000 ,3.2000 ,5.7000 ,2.3000 ,virginica
150,5.9490 ,2.8200 ,3.9090 ,1.2640 ,versicolor
151,5.9170 ,2.6980 ,5.9800 ,2.1360 ,virginica
152,5.9810 ,3.1060 ,4.5500 ,1.5400 ,versicolor
153,4.9370 ,3.6900 ,1.4980 ,0.2480 ,setosa
154,7.3660 ,3.1790 ,4.9610 ,1.5230 ,virginica
155,6.1080 ,2.7010 ,4.0910 ,1.4270 ,versicolor
156,5.3600 ,3.5450 ,1.2450 ,0.2620 ,setosa
157,6.1990 ,2.8130 ,4.4410 ,1.2370 ,versicolor
158,4.8040 ,3.0370 ,1.6270 ,0.3760 ,setosa
159,7.1190 ,2.9070 ,5.0770 ,1.8780 ,virginica
160,5.4000 ,3.9000 ,1.3000 ,0.4000 ,setosa
161,5.9480 ,2.7210 ,4.3050 ,1.3500 ,versicolor
162,4.8350 ,3.5370 ,1.4090 ,0.2350 ,setosa
163,7.2230 ,2.8910 ,5.4650 ,2.0830 ,virginica
164,5.6060 ,2.7690 ,4.3380 ,1.3750 ,versicolor
165,5.7000 ,2.6000 ,3.5000 ,1.0000 ,versicolor
166,6.6380 ,3.2700 ,5.4330 ,2.1880 ,virginica
167,5.9780 ,2.8560 ,4.3320 ,1.3150 ,versicolor
168,6.2930 ,2.9710 ,5.4710 ,2.0070 ,virginica
169,6.2520 ,3.1500 ,4.7490 ,1.1420 ,versicolor
170,5.6000 ,2.5000 ,3.9000 ,1.1000 ,versicolor
171,6.5050 ,3.5660 ,5.9360 ,1.5550 ,virginica
172,4.9240 ,3.1580 ,1.2470 ,0.2740 ,setosa
173,6.2910 ,2.4750 ,3.8300 ,1.3990 ,versicolor
174,5.0770 ,3.4540 ,1.4860 ,0.3040 ,setosa
175,5.7820 ,2.5740 ,3.9990 ,1.4060 ,versicolor
176,6.5310 ,2.7050 ,5.5800 ,1.8730 ,virginica
177,6.6470 ,3.0050 ,5.5630 ,2.0600 ,virginica
178,6.9120 ,2.8290 ,6.0110 ,2.1560 ,virginica
179,7.3790 ,2.6730 ,5.2290 ,2.3390 ,virginica
180,6.0440 ,2.8720 ,4.3970 ,1.4220 ,versicolor
181,4.9750 ,3.4320 ,1.4700 ,0.2420 ,setosa
182,5.1420 ,3.5560 ,1.5290 ,0.2720 ,setosa
183,4.4000 ,3.2000 ,1.3000 ,0.2000 ,setosa
184,5.1500 ,3.1730 ,1.5120 ,0.2020 ,setosa
185,5.7070 ,2.6920 ,4.0730 ,1.2770 ,versicolor
186,4.8700 ,3.2580 ,1.5600 ,0.1860 ,setosa
187,5.8360 ,3.0990 ,4.0630 ,1.2940 ,versicolor
188,4.9790 ,3.4350 ,1.4830 ,0.2500 ,setosa
189,5.8410 ,2.8040 ,4.1160 ,1.3520 ,versicolor
190,4.9620 ,3.9580 ,1.1950 ,0.3120 ,setosa
191,4.8000 ,3.0000 ,1.4000 ,0.3000 ,setosa
192,5.8440 ,2.8020 ,4.3890 ,1.2880 ,versicolor
193,6.9000 ,3.1000 ,5.1000 ,2.3000 ,virginica
194,6.3040 ,3.6050 ,5.2390 ,2.1350 ,virginica
195,5.0510 ,3.4460 ,1.3300 ,0.1150 ,setosa
196,4.6950 ,4.1240 ,1.3440 ,0.1990 ,setosa
197,6.3280 ,2.7710 ,3.7270 ,1.3670 ,versicolor
198,6.6970 ,2.9480 ,5.5520 ,1.8760 ,virginica
199,5.2280 ,3.4390 ,1.3130 ,0.2750 ,setosa
200,6.7840 ,2.6620 ,4.3570 ,1.4860 ,versicolor
201,7.7000 ,2.6000 ,6.9000 ,2.3000 ,virginica
202,5.7000 ,2.5000 ,5.0000 ,2.0000 ,virginica
203,5.6240 ,2.8320 ,3.5690 ,1.4710 ,versicolor
204,5.9000 ,2.7650 ,4.3200 ,1.3440 ,versicolor
205,6.0000 ,2.2000 ,4.0000 ,1.0000 ,versicolor
206,5.0000 ,3.4000 ,1.6000 ,0.4000 ,setosa
207,4.9550 ,3.5760 ,1.4910 ,0.2760 ,setosa
208,6.9560 ,2.6270 ,5.9820 ,1.9570 ,virginica
209,5.3420 ,3.2880 ,1.3240 ,0.1120 ,setosa
210,6.5930 ,2.9910 ,5.5420 ,2.0120 ,virginica
211,7.4820 ,2.3320 ,6.0510 ,2.1820 ,virginica
212,6.1460 ,2.7500 ,5.6100 ,1.9230 ,virginica
213,6.3220 ,3.0690 ,5.0550 ,1.1160 ,versicolor
214,5.1190 ,3.1820 ,1.3950 ,0.1680 ,setosa
215,5.5000 ,4.2000 ,1.4000 ,0.2000 ,setosa
216,4.8000 ,3.4000 ,1.9000 ,0.2000 ,setosa
217,5.0280 ,3.4120 ,1.4610 ,0.2470 ,setosa
218,6.4990 ,2.7200 ,5.2840 ,2.0850 ,virginica
219,6.5440 ,2.9560 ,5.6000 ,2.0260 ,virginica
220,6.6400 ,3.0370 ,5.4700 ,2.0670 ,virginica
221,5.2480 ,3.2580 ,1.5030 ,0.3190 ,setosa
222,6.2300 ,2.8260 ,5.6000 ,1.9280 ,virginica
223,5.3040 ,3.6160 ,1.3420 ,0.2800 ,setosa
224,6.4050 ,2.8590 ,5.5510 ,2.1030 ,virginica
225,6.5000 ,3.0000 ,5.2000 ,2.0000 ,virginica
226,5.9860 ,2.8050 ,4.2810 ,1.3050 ,versicolor
227,5.5890 ,2.3890 ,4.5120 ,1.5470 ,versicolor
228,5.5760 ,2.6330 ,4.4630 ,1.3740 ,versicolor
229,5.0340 ,3.2570 ,1.4920 ,0.2550 ,setosa
230,6.9380 ,2.6740 ,5.9820 ,2.2670 ,virginica
231,5.6340 ,2.6250 ,3.9630 ,1.2470 ,versicolor
232,5.1830 ,3.1200 ,3.6770 ,1.4340 ,versicolor
233,6.3960 ,3.3280 ,5.8370 ,1.9820 ,virginica
234,6.5250 ,3.0200 ,4.6060 ,1.3340 ,versicolor
235,4.9000 ,2.5000 ,4.5000 ,1.7000 ,virginica
236,6.0560 ,2.8510 ,4.1960 ,1.3290 ,versicolor
237,5.8170 ,2.9070 ,4.0550 ,1.5090 ,versicolor
238,6.5290 ,2.1460 ,4.6250 ,1.1220 ,versicolor
239,5.1000 ,2.5000 ,3.0000 ,1.1000 ,versicolor
240,6.5240 ,2.9450 ,5.6040 ,2.0390 ,virginica
241,6.6910 ,3.0040 ,5.5640 ,1.9660 ,virginica
242,5.7240 ,2.9800 ,3.8840 ,1.3200 ,versicolor
243,6.1490 ,3.2550 ,5.5230 ,1.9590 ,virginica
244,6.1000 ,3.0000 ,4.6000 ,1.4000 ,versicolor
245,6.5850 ,3.0190 ,5.9680 ,2.0500 ,virginica
246,4.7130 ,3.3530 ,1.4970 ,0.3470 ,setosa
247,6.6610 ,3.4470 ,5.4590 ,1.7870 ,virginica
248,5.5000 ,2.6000 ,4.4000 ,1.2000 ,versicolor
249,5.3620 ,3.1060 ,1.1450 ,0.3120 ,setosa
250,5.7540 ,3.4220 ,5.5220 ,1.7120 ,virginica
251,5.2200 ,2.5840 ,1.3690 ,0.2450 ,setosa
252,5.3470 ,2.8050 ,4.5470 ,1.3370 ,versicolor
253,7.2310 ,3.3040 ,5.5590 ,1.8360 ,virginica
254,6.6350 ,2.9710 ,5.5200 ,2.0100 ,virginica
255,4.7260 ,3.5320 ,1.4180 ,0.2960 ,setosa
256,6.7000 ,3.1000 ,4.7000 ,1.5000 ,versicolor
257,5.9800 ,2.5950 ,4.6240 ,1.4600 ,versicolor
258,4.9880 ,3.7870 ,1.4890 ,0.1720 ,setosa
259,5.0620 ,3.4560 ,1.6440 ,0.2780 ,setosa
260,4.5230 ,2.9860 ,1.6260 ,0.3390 ,setosa
261,5.0690 ,3.6850 ,1.3380 ,0.1870 ,setosa
262,4.9640 ,3.1860 ,1.3890 ,0.1970 ,setosa
263,5.4170 ,2.5580 ,4.2020 ,1.1130 ,versicolor
264,5.8230 ,2.6340 ,4.3830 ,1.4690 ,versicolor
265,6.5670 ,2.9980 ,5.5680 ,2.0370 ,virginica
266,5.4800 ,2.6920 ,3.8170 ,1.2490 ,versicolor
267,4.5720 ,3.0610 ,1.1420 ,0.1280 ,setosa
268,5.7000 ,3.0000 ,4.2000 ,1.2000 ,versicolor
269,5.9220 ,2.7920 ,4.3220 ,1.3710 ,versicolor
270,4.8240 ,3.9440 ,1.7000 ,0.2360 ,setosa
271,6.8000 ,3.2000 ,5.9000 ,2.3000 ,virginica
272,6.5590 ,2.7970 ,4.3870 ,1.6920 ,versicolor
273,5.0000 ,2.3000 ,3.3000 ,1.0000 ,versicolor
274,5.5320 ,4.2690 ,1.0770 ,0.0330 ,setosa
275,5.0650 ,3.5900 ,1.4430 ,0.1610 ,setosa
276,5.4960 ,2.9850 ,5.3280 ,1.9620 ,virginica
277,6.4140 ,2.9380 ,5.7580 ,2.1090 ,virginica
278,6.5990 ,2.9480 ,5.5040 ,2.0400 ,virginica
279,5.4750 ,3.9440 ,1.4780 ,0.4380 ,setosa
280,6.0930 ,2.7670 ,3.6740 ,1.1530 ,versicolor
281,5.0280 ,3.1960 ,1.4790 ,0.3100 ,setosa
282,6.6080 ,3.0360 ,5.7700 ,2.0770 ,virginica
283,5.1000 ,3.8000 ,1.6000 ,0.2000 ,setosa
284,5.9670 ,2.7930 ,4.2790 ,1.3300 ,versicolor
285,5.6970 ,3.0440 ,4.1900 ,1.4120 ,versicolor
286,6.6010 ,3.5540 ,5.1780 ,2.1890 ,virginica
287,7.0930 ,2.9120 ,5.7230 ,2.4450 ,virginica
288,7.0370 ,2.9020 ,5.4150 ,2.1740 ,virginica
289,5.8340 ,2.8270 ,4.4200 ,1.3390 ,versicolor
290,6.3930 ,3.1140 ,5.6430 ,2.0440 ,virginica
291,6.5790 ,3.2750 ,5.4020 ,2.0050 ,virginica
292,7.1510 ,3.2620 ,5.6590 ,1.9220 ,virginica
293,5.0300 ,3.4890 ,1.4600 ,0.2660 ,setosa
294,6.7880 ,2.3940 ,5.7500 ,2.2910 ,virginica
295,5.6000 ,2.8000 ,4.9000 ,2.0000 ,virginica
296,6.3890 ,3.1380 ,3.4830 ,1.5500 ,versicolor
297,4.6090 ,3.3310 ,1.4880 ,0.1010 ,setosa
298,6.6170 ,2.6460 ,4.8170 ,1.5250 ,versicolor
299,7.0480 ,3.2350 ,5.2030 ,2.0560 ,virginica
300,6.8010 ,2.4240 ,5.8590 ,2.4770 ,virginica
301,6.1180 ,2.5240 ,4.2140 ,1.3740 ,versicolor
302,6.1210 ,2.8870 ,4.3200 ,1.3040 ,versicolor
303,6.3590 ,3.2570 ,3.5350 ,1.4800 ,versicolor
304,4.9000 ,3.1000 ,1.5000 ,0.1000 ,setosa
305,4.8190 ,2.9850 ,1.5160 ,0.1570 ,setosa
306,6.5360 ,3.0800 ,5.5050 ,1.9470 ,virginica
307,4.7430 ,3.9070 ,1.3430 ,0.1770 ,setosa
308,6.2100 ,2.6250 ,4.3950 ,1.3290 ,versicolor
309,4.9950 ,3.1040 ,1.3410 ,0.4010 ,setosa
310,6.4460 ,2.9200 ,5.4710 ,2.0560 ,virginica
311,5.3710 ,3.0460 ,4.1700 ,1.4150 ,versicolor
312,6.3000 ,2.5000 ,5.0000 ,1.9000 ,virginica
313,5.9390 ,3.0440 ,5.2820 ,2.2030 ,virginica
314,6.7790 ,3.0330 ,5.6610 ,2.3370 ,virginica
315,4.3410 ,4.0740 ,1.2480 ,0.2310 ,setosa
316,5.0250 ,3.5580 ,1.4510 ,0.1920 ,setosa
317,5.1090 ,3.6700 ,1.2550 ,0.2010 ,setosa
318,4.9550 ,3.5970 ,1.3310 ,0.1100 ,setosa
319,7.2000 ,3.2000 ,6.0000 ,1.8000 ,virginica
320,5.7000 ,4.4000 ,1.5000 ,0.4000 ,setosa
321,6.5750 ,2.9500 ,5.5220 ,2.0680 ,virginica
322,7.3690 ,3.4580 ,6.1260 ,2.3470 ,virginica
323,6.1020 ,2.1700 ,5.1010 ,0.9680 ,versicolor
324,5.0100 ,3.3710 ,1.4820 ,0.2490 ,setosa
325,5.7010 ,2.9520 ,4.3990 ,1.4510 ,versicolor
326,5.7960 ,2.7120 ,4.3730 ,1.3530 ,versicolor
327,5.0170 ,3.3320 ,1.4090 ,0.1850 ,setosa
328,5.9430 ,2.7430 ,4.2430 ,1.3160 ,versicolor
329,4.9660 ,3.4900 ,1.4570 ,0.2510 ,setosa
330,6.3660 ,3.4750 ,5.7050 ,1.9170 ,virginica
331,5.6010 ,2.9110 ,4.4570 ,1.5160 ,versicolor
332,4.7500 ,3.5800 ,1.5130 ,0.1540 ,setosa
333,7.3350 ,3.0040 ,5.5810 ,1.8490 ,virginica
334,4.8060 ,3.6880 ,1.6600 ,0.3080 ,setosa
335,5.8550 ,2.8350 ,4.3900 ,1.2980 ,versicolor
336,6.4740 ,2.5800 ,4.9200 ,1.4420 ,versicolor
337,6.0480 ,2.8820 ,4.4020 ,1.2980 ,versicolor
338,7.0000 ,3.2000 ,4.7000 ,1.4000 ,versicolor
339,4.6800 ,2.7220 ,1.4380 ,0.0820 ,setosa
340,6.2070 ,2.9440 ,5.4300 ,2.1730 ,virginica
341,5.8190 ,2.6790 ,4.3120 ,1.3270 ,versicolor
342,4.9660 ,3.4350 ,1.4640 ,0.2550 ,setosa
343,5.4140 ,2.6470 ,4.1350 ,1.1590 ,versicolor
344,5.5520 ,3.2440 ,4.6860 ,1.4450 ,versicolor
345,4.8250 ,2.8020 ,1.3440 ,0.1470 ,setosa
346,5.2730 ,3.9330 ,1.3170 ,0.3000 ,setosa
347,5.9450 ,2.7830 ,4.2920 ,1.3890 ,versicolor
348,5.9220 ,2.8350 ,4.3330 ,1.3230 ,versicolor
349,6.5290 ,2.9740 ,5.4990 ,2.0720 ,virginica
350,6.6900 ,2.6500 ,3.8960 ,1.5060 ,versicolor
351,6.6280 ,2.9770 ,5.5720 ,2.0360 ,virginica
352,5.6640 ,3.0570 ,4.1190 ,1.3440 ,versicolor
353,5.8600 ,2.8100 ,4.1120 ,1.3160 ,versicolor
354,5.1170 ,3.5990 ,1.6910 ,0.3700 ,setosa
355,6.2290 ,2.9970 ,5.1170 ,2.2030 ,virginica
356,5.0010 ,3.4390 ,1.4600 ,0.2470 ,setosa
357,6.7210 ,3.0160 ,5.6010 ,2.0070 ,virginica
358,4.3810 ,2.5960 ,1.1500 ,0.4030 ,setosa
359,5.0000 ,3.2000 ,1.2000 ,0.2000 ,setosa
360,4.6710 ,3.1690 ,1.7390 ,0.1800 ,setosa
361,7.2150 ,3.3210 ,5.6390 ,2.3080 ,virginica
362,5.6850 ,2.6570 ,4.0170 ,1.4890 ,versicolor
363,5.6000 ,2.7000 ,4.2000 ,1.3000 ,versicolor
364,6.9150 ,3.0370 ,5.3860 ,1.9660 ,virginica
365,6.8540 ,3.2120 ,5.8150 ,1.8740 ,virginica
366,4.4000 ,3.0000 ,1.3000 ,0.2000 ,setosa
367,5.3870 ,2.8430 ,3.6010 ,1.0700 ,versicolor
368,5.0710 ,3.3460 ,1.4790 ,0.2600 ,setosa
369,6.0620 ,2.7100 ,4.2670 ,1.3050 ,versicolor
370,5.9910 ,2.7560 ,4.2020 ,1.3440 ,versicolor
371,7.2190 ,2.8730 ,5.7310 ,1.9310 ,virginica
372,6.0310 ,2.8320 ,5.4600 ,1.8820 ,virginica
373,4.5920 ,3.3610 ,1.5140 ,0.1420 ,setosa
374,4.9730 ,3.3140 ,1.5260 ,0.2960 ,setosa
375,4.3000 ,3.0000 ,1.1000 ,0.1000 ,setosa
376,5.9950 ,2.7940 ,4.0690 ,1.3680 ,versicolor
377,7.7000 ,3.0000 ,6.1000 ,2.3000 ,virginica
378,4.9890 ,3.5620 ,1.5580 ,0.1870 ,setosa
379,5.1480 ,3.1990 ,1.2760 ,0.3370 ,setosa
380,6.0030 ,2.8450 ,4.3220 ,1.4210 ,versicolor
381,5.6430 ,2.6290 ,5.1910 ,1.8450 ,virginica
382,5.7300 ,2.5710 ,4.4520 ,1.4400 ,versicolor
383,6.2880 ,3.1350 ,5.4470 ,2.1390 ,virginica
384,5.8530 ,2.9510 ,4.5510 ,1.4690 ,versicolor
385,6.8380 ,2.8410 ,5.6640 ,2.1080 ,virginica
386,6.5710 ,3.3230 ,3.4990 ,1.1420 ,versicolor
387,7.6930 ,3.0610 ,5.4670 ,1.9340 ,virginica
388,5.4490 ,2.2400 ,3.8250 ,1.4460 ,versicolor
389,6.2000 ,2.2000 ,4.5000 ,1.5000 ,versicolor
390,6.7000 ,3.3000 ,5.7000 ,2.5000 ,virginica
391,6.1000 ,2.6000 ,5.6000 ,1.4000 ,virginica
392,5.3250 ,3.3920 ,1.3490 ,0.1560 ,setosa
393,6.0000 ,3.4000 ,4.5000 ,1.6000 ,versicolor
394,5.8850 ,2.5180 ,4.2010 ,1.1940 ,versicolor
395,5.1460 ,3.7970 ,1.1160 ,0.1810 ,setosa
396,5.3420 ,2.9570 ,1.5780 ,0.1420 ,setosa
397,4.9960 ,3.4140 ,1.5240 ,0.2430 ,setosa
398,6.5760 ,2.6500 ,4.4030 ,1.1870 ,versicolor
399,5.3200 ,3.3780 ,6.2700 ,1.6300 ,virginica
400,5.3000 ,3.7000 ,1.5000 ,0.2000 ,setosa
401,7.3620 ,3.1660 ,5.4570 ,2.2710 ,virginica
402,6.3420 ,2.7780 ,5.7760 ,2.1750 ,virginica
403,5.1000 ,3.8000 ,1.9000 ,0.4000 ,setosa
404,5.0250 ,3.5540 ,1.4250 ,0.1330 ,setosa
405,6.8100 ,3.1920 ,5.1240 ,2.2350 ,virginica
